row,kind,bin1,bin2,theta_arcmin,kept_after_cuts
171,xim,src0,src4,0.7133649061081178,0
172,xim,src0,src4,1.4520956109204288,0
173,xim,src0,src4,2.955824775230527,0
174,xim,src0,src4,6.016752640915019,0
175,xim,src0,src4,12.247448713915889,0
176,xim,src0,src4,24.930391683376275,0
177,xim,src0,src4,50.747257163882935,1
178,xim,src0,src4,103.2989831192456,1
179,xim,src0,src4,210.27106704526625,1
180,xim,src1,src1,0.7133649061081178,0
181,xim,src1,src1,1.4520956109204288,0
182,xim,src1,src1,2.955824775230527,0
183,xim,src1,src1,6.016752640915019,0
184,xim,src1,src1,12.247448713915889,0
185,xim,src1,src1,24.930391683376275,0
186,xim,src1,src1,50.747257163882935,1
187,xim,src1,src1,103.2989831192456,1
188,xim,src1,src1,210.27106704526625,1
189,xim,src1,src2,0.7133649061081178,0
190,xim,src1,src2,1.4520956109204288,0
191,xim,src1,src2,2.955824775230527,0
192,xim,src1,src2,6.016752640915019,0
193,xim,src1,src2,12.247448713915889,0
194,xim,src1,src2,24.930391683376275,0
195,xim,src1,src2,50.747257163882935,1
196,xim,src1,src2,103.2989831192456,1
197,xim,src1,src2,210.27106704526625,1
198,xim,src1,src3,0.7133649061081178,0
199,xim,src1,src3,1.4520956109204288,0
200,xim,src1,src3,2.955824775230527,0
201,xim,src1,src3,6.016752640915019,0
202,xim,src1,src3,12.247448713915889,0
203,xim,src1,src3,24.930391683376275,0
204,xim,src1,src3,50.747257163882935,1
205,xim,src1,src3,103.2989831192456,1
206,xim,src1,src3,210.27106704526625,1
207,xim,src1,src4,0.7133649061081178,0
208,xim,src1,src4,1.4520956109204288,0
209,xim,src1,src4,2.955824775230527,0
210,xim,src1,src4,6.016752640915019,0
211,xim,src1,src4,12.247448713915889,0
212,xim,src1,src4,24.930391683376275,0
213,xim,src1,src4,50.747257163882935,1
214,xim,src1,src4,103.2989831192456,1
215,xim,src1,src4,210.27106704526625,1
216,xim,src2,src2,0.7133649061081178,0
217,xim,src2,src2,1.4520956109204288,0
218,xim,src2,src2,2.955824775230527,0
219,xim,src2,src2,6.016752640915019,0
220,xim,src2,src2,12.247448713915889,0
221,xim,src2,src2,24.930391683376275,0
222,xim,src2,src2,50.747257163882935,1
223,xim,src2,src2,103.2989831192456,1
224,xim,src2,src2,210.27106704526625,1
225,xim,src2,src3,0.7133649061081178,0
226,xim,src2,src3,1.4520956109204288,0
227,xim,src2,src3,2.955824775230527,0
228,xim,src2,src3,6.016752640915019,0
229,xim,src2,src3,12.247448713915889,0
230,xim,src2,src3,24.930391683376275,0
231,xim,src2,src3,50.747257163882935,1
232,xim,src2,src3,103.2989831192456,1
233,xim,src2,src3,210.27106704526625,1
234,xim,src2,src4,0.7133649061081178,0
235,xim,src2,src4,1.4520956109204288,0
236,xim,src2,src4,2.955824775230527,0
237,xim,src2,src4,6.016752640915019,0
238,xim,src2,src4,12.247448713915889,0
239,xim,src2,src4,24.930391683376275,0
240,xim,src2,src4,50.747257163882935,1
241,xim,src2,src4,103.2989831192456,1
242,xim,src2,src4,210.27106704526625,1
243,xim,src3,src3,0.7133649061081178,0
244,xim,src3,src3,1.4520956109204288,0
245,xim,src3,src3,2.955824775230527,0
246,xim,src3,src3,6.016752640915019,0
247,xim,src3,src3,12.247448713915889,0
248,xim,src3,src3,24.930391683376275,0
249,xim,src3,src3,50.747257163882935,1
250,xim,src3,src3,103.2989831192456,1
251,xim,src3,src3,210.27106704526625,1
252,xim,src3,src4,0.7133649061081178,0
253,xim,src3,src4,1.4520956109204288,0
254,xim,src3,src4,2.955824775230527,0
255,xim,src3,src4,6.016752640915019,0
256,xim,src3,src4,12.247448713915889,0
257,xim,src3,src4,24.930391683376275,0
258,xim,src3,src4,50.747257163882935,1
