row,kind,pair_index,bin1_1based,bin2_1based,bin1,bin2,theta_index,theta_arcmin,value
37,xip,4,1,5,src0,src4,1,1.4520956109204288,1.971075221232976e-05
38,xip,4,1,5,src0,src4,2,2.955824775230527,1.263745655973505e-05
39,xip,4,1,5,src0,src4,3,6.016752640915019,1.0098742240503557e-05
40,xip,4,1,5,src0,src4,4,12.247448713915889,5.523446647943433e-06
41,xip,4,1,5,src0,src4,5,24.930391683376275,-2.1780423374873756e-07
42,xip,4,1,5,src0,src4,6,50.747257163882935,1.4500423863495097e-07
43,xip,4,1,5,src0,src4,7,103.29898311924559,6.87641001647958e-07
44,xip,4,1,5,src0,src4,8,210.27106704526622,2.7437028451682214e-07
45,xip,5,2,2,src1,src1,0,0.7133649061081178,0.00014992925311472035
46,xip,5,2,2,src1,src1,1,1.4520956109204288,4.001859180285391e-05
47,xip,5,2,2,src1,src1,2,2.955824775230527,4.7027841781780805e-05
48,xip,5,2,2,src1,src1,3,6.016752640915019,1.2351423595326617e-05
49,xip,5,2,2,src1,src1,4,12.247448713915889,7.2236336047353475e-06
50,xip,5,2,2,src1,src1,5,24.930391683376275,4.15851787586612e-06
51,xip,5,2,2,src1,src1,6,50.747257163882935,1.4824517593132421e-06
52,xip,5,2,2,src1,src1,7,103.29898311924559,6.617669582931178e-07
53,xip,5,2,2,src1,src1,8,210.27106704526622,-2.423881970664159e-07
54,xip,6,2,3,src1,src2,0,0.7133649061081178,3.0258483741815116e-05
55,xip,6,2,3,src1,src2,1,1.4520956109204288,2.6485913288934657e-05
56,xip,6,2,3,src1,src2,2,2.955824775230527,2.7169971479891646e-05
57,xip,6,2,3,src1,src2,3,6.016752640915019,8.843371140756308e-06
58,xip,6,2,3,src1,src2,4,12.247448713915889,4.469516593835979e-06
59,xip,6,2,3,src1,src2,5,24.930391683376275,2.6227687968914687e-06
60,xip,6,2,3,src1,src2,6,50.747257163882935,1.5255709772799538e-06
61,xip,6,2,3,src1,src2,7,103.29898311924559,9.75839324541946e-07
62,xip,6,2,3,src1,src2,8,210.27106704526622,9.742475550279203e-08
63,xip,7,2,4,src1,src3,0,0.7133649061081178,6.540995532745494e-05
