env_access,invariant_protection,regime
0.2730923694779116,0.0,0.0
0.2771084337349397,0.0,0.0
0.28112449799196787,0.0,0.0
0.285140562248996,0.0,0.0
0.2891566265060241,0.0,0.0
0.2931726907630522,0.0,0.0
0.2971887550200803,0.0,0.0
0.3012048192771084,0.0,0.0
0.3052208835341365,0.0,0.0
0.3092369477911646,0.0,0.0
0.3132530120481927,0.0,0.0
0.31726907630522083,0.0,0.0
0.321285140562249,0.0,0.0
0.3253012048192771,0.0,0.0
0.3293172690763052,0.0,0.0
0.3333333333333333,0.0,0.0
0.3373493975903614,0.0,0.0
0.34136546184738953,0.0,0.0
0.34538152610441764,0.0,0.0
0.34939759036144574,0.0,0.0
0.35341365461847385,0.0,0.0
0.35742971887550196,0.0,0.0
0.36144578313253006,0.0,0.0
0.3654618473895582,0.0,0.0
0.36947791164658633,0.0,0.0
0.37349397590361444,0.0,0.0
0.37751004016064255,0.0,0.0
0.38152610441767065,0.0,0.0
0.38554216867469876,0.0,0.0
0.38955823293172687,0.0,0.0
0.393574297188755,0.0,0.0
0.3975903614457831,0.0,0.0
0.4016064257028112,0.0,0.0
0.4056224899598393,0.0,0.0
0.40963855421686746,0.0,0.0
0.41365461847389556,0.0,0.0
0.41767068273092367,0.0,0.0
0.4216867469879518,0.0,0.0
0.4257028112449799,0.0,0.0
0.429718875502008,0.0,0.0
0.4337349397590361,0.0,0.0
0.4377510040160642,0.0,0.0
0.4417670682730923,0.0,0.0
0.4457831325301204,0.0,0.0
0.4497991967871485,0.0,0.0
0.4538152610441767,0.0,2.0
0.4578313253012048,0.0,2.0
0.4618473895582329,0.0,2.0
0.465863453815261,0.0,2.0
0.4698795180722891,0.0,2.0
0.4738955823293172,0.0,2.0
0.47791164658634533,0.0,2.0
0.48192771084337344,0.0,2.0
0.48594377510040154,0.0,2.0
0.48995983935742965,0.0,2.0
0.4939759036144578,0.0,2.0
0.4979919678714859,0.0,2.0
0.502008032128514,0.0,2.0
0.5060240963855421,0.0,2.0
0.5100401606425702,0.0,2.0
0.5140562248995983,0.0,2.0
0.5180722891566265,0.0,2.0
0.5220883534136546,0.0,2.0
0.5261044176706827,0.0,2.0
0.5301204819277108,0.0,2.0
0.5341365461847389,0.0,2.0
0.538152610441767,0.0,2.0
0.5421686746987951,0.0,2.0
0.5461847389558232,0.0,2.0
0.5502008032128514,0.0,2.0
0.5542168674698794,0.0,2.0
0.5582329317269076,0.0,2.0
0.5622489959839357,0.0,2.0
0.5662650602409638,0.0,2.0
0.570281124497992,0.0,2.0
0.57429718875502,0.0,2.0
0.5783132530120482,0.0,2.0
0.5823293172690762,0.0,2.0
0.5863453815261044,0.0,2.0
0.5903614457831324,0.0,2.0
0.5943775100401606,0.0,2.0
0.5983935742971886,0.0,2.0
0.6024096385542168,0.0,2.0
0.606425702811245,0.0,2.0
0.610441767068273,0.0,2.0
0.6144578313253012,0.0,2.0
0.6184738955823292,0.0,2.0
0.6224899598393574,0.0,2.0
0.6265060240963854,0.0,2.0
0.6305220883534136,0.0,2.0
0.6345381526104417,0.0,2.0
0.6385542168674698,0.0,2.0
0.642570281124498,0.0,2.0
0.646586345381526,0.0,2.0
0.6506024096385542,0.0,2.0
0.6546184738955823,0.0,2.0
0.6586345381526104,0.0,2.0
0.6626506024096385,0.0,2.0
0.6666666666666666,0.0,2.0
0.6706827309236947,0.0,2.0
0.6746987951807228,0.0,2.0
0.6787148594377509,0.0,2.0
0.6827309236947791,0.0,2.0
0.6867469879518072,0.0,2.0
0.6907630522088353,0.0,2.0
0.6947791164658634,0.0,2.0
0.6987951807228915,0.0,2.0
0.7028112449799196,0.0,2.0
0.7068273092369477,0.0,2.0
0.7108433734939759,0.0,2.0
0.7148594377510039,0.0,2.0
0.7188755020080321,0.0,2.0
