readout_strength,recovery_alpha_08,recovery_alpha_16,recovery_alpha_30
0.09698996655518395,0.1903258254381327,0.2507745497686388,0.3459040935249367
0.10033444816053512,0.19248928219748027,0.2547730750103536,0.35243411462244445
0.10367892976588629,0.19464695818068778,0.25875026060843564,0.35889894470574196
0.10702341137123746,0.1967988688340416,0.26270622044997133,0.3652992345948297
0.11036789297658862,0.19894502956255555,0.2666410678142457,0.37163562861239124
0.11371237458193979,0.20108545573008105,0.270554915375986,0.37790876464865797
0.11705685618729096,0.2032201626594174,0.2744478752085882,0.38411927422562603
0.12040133779264214,0.2053491656324209,0.27832005878732613,0.39026778256063177
0.12374581939799331,0.20747247989011472,0.28217157699254336,0.39635490862929346
0.12709030100334448,0.20959012063279814,0.28600254011282894,0.40238126522782386
0.13043478260869565,0.21170210302015458,0.2898130578481749,0.4083474590347209
0.13377926421404682,0.2138084421713612,0.29360323931311777,0.4142540906718425
0.13712374581939799,0.2159091531651962,0.2973731930398631,0.4201017547648719
0.14046822742474915,0.21800425104014723,0.3011230269813931,0.42589104000317896
0.14381270903010032,0.22009375079451912,0.30485284851455813,0.43162252919908395
0.1471571906354515,0.22217766738654088,0.30856276444315134,0.4372967993465299
0.1505016722408027,0.22425601573447318,0.312252881000967,0.44291442167916933
0.15384615384615385,0.2263288107167149,0.31592330385484246,0.4484759617278702
0.15719063545150502,0.22839606717190952,0.31957413810768415,0.4539819793776489
0.1605351170568562,0.23045779989905185,0.32320548830147683,0.4594330289240342
0.16387959866220736,0.2325140236575933,0.3268174584202775,0.4648296591288687
0.16722408026755853,0.23456475316754832,0.3304101518931928,0.4701724132755531
0.1705685618729097,0.23661000310959895,0.3339836715973411,0.475461829223739
0.17391304347826086,0.23864978812520055,0.3375381198607976,0.48069843946347557
0.17725752508361203,0.24068412281668622,0.34107359846552543,0.48588277116881623
0.1806020066889632,0.24271302174737164,0.34459020865028944,0.4910153462508893
0.18394648829431437,0.24473649944165915,0.34808805111355545,0.4960966814104391
0.18729096989966554,0.2467545703851416,0.3515672260163742,0.5011272881898433
0.1906354515050167,0.24876724902470645,0.35502783298524854,0.5061076730246099
0.1939799331103679,0.2507745497686388,0.35846997111498735,0.5110383372943601
0.19732441471571907,0.2527764869867245,0.36189373897154203,0.5159197773733037
0.20066889632107024,0.2547730750103536,0.3652992345948297,0.5207524846802087
0.2040133779264214,0.2567643281326223,0.3686865555015402,0.5255369457278727
0.20735785953177258,0.25875026060843564,0.37205579868792904,0.5302736421721014
