lag,K_tau6,tail_tau6,K_tau18,tail_tau18,K_tau40,tail_tau40
4.969939879759519,-0.1364762782017298,1.7946887692411198,0.2788973824275677,6.280638892179878,0.4406133382014312,11.532343102691438
5.130260521042084,-0.15722690717843268,1.77114542772768,0.2574100100325541,6.2376483196379855,0.43051514666701834,11.46251316402463
5.290581162324649,-0.1762204449864938,1.7444161810611527,0.2359644241051858,6.198099266801293,0.4202746854171222,11.394313578286422
5.4509018036072145,-0.19346650803590046,1.7147819563699787,0.2145880123092633,6.161982839032599,0.40989839219610275,11.327766638197186
5.611222444889779,-0.20898173988014174,1.6825215757755065,0.193307588040245,6.129285796920414,0.3993927236746586,11.262893602856845
5.771543086172344,-0.2227893738469843,1.6479106648554964,0.17214936539914497,6.099990650352127,0.3887641519558628,11.19971469499067
5.9318637274549095,-0.23491879004218297,1.6112206316780082,0.15113893539424814,6.074075756500953,0.37801916110110406,11.138249098753638
6.092184368737475,-0.24540506892722597,1.572717717131362,0.1303012433801719,6.051515421529055,0.3671642436775747,11.078514958090018
6.25250501002004,-0.25428854357243963,1.5326621169309882,0.10966056774201774,6.032280005807838,0.3562058973289184,11.020529375644607
6.4128256513026045,-0.2616143525831284,1.4913071753553917,0.08924049983058623,6.016336032455325,0.3451506213706302,10.964308412221797
6.57314629258517,-0.26743199558957875,1.448898650451768,0.06906392515287837,6.003646298989716,0.3340049134117731,10.909867086788338
6.733466933867735,-0.2717948930823164,1.4056740501574274,0.04915300582039334,5.99416999189767,0.32277526600455053,10.857219377015486
6.8937875751503,-0.2747599522625864,1.3618620385065334,0.029529164256029344,5.987862803915593,0.31146816332324645,10.806378220355946
7.054108216432866,-0.27638714046521723,1.3176819108329616,0.010213068158737624,5.9846770538222245,0.3000900778740182,10.757355515650753
7.214428857715431,-0.27673906759737726,1.2733431366395676,-0.008775383276561025,5.98315493346669,0.28864746723699997,10.710162125261093
7.374749498997995,-0.27588057892278,1.2290449685818396,-0.027417071887884833,5.980253734655912,0.2771467708421442,10.664807877719678
7.535070140280561,-0.2738783594071401,1.1849761158099021,-0.04569367182958634,5.974393153997197,0.2655944067802022,10.621301570896243
7.695390781563126,-0.2708005507276172,1.1413144797269554,-0.06358765961742364,5.965633127428298,0.25399676865021387,10.57965097567136
7.855711422845691,-0.2667163819370443,1.0982269500544375,-0.08108232294400128,5.954036335239005,0.2423602224448473,10.539862840112637
8.016032064128256,-0.2616958146633609,1.0558692589441847,-0.09816176827472536,5.939668071413857,0.2306911034748985,10.501942894147128
8.176352705410821,-0.2558092036162446,1.0143858907454186,-0.11481092723584513,5.922596111853891,0.21899571333423076,10.46589585472355
8.336673346693386,-0.24912697306681955,0.9739100449191211,-0.1310155618075268,5.902890581670054,0.2072803169064033,10.431725431457767
8.496993987975952,-0.24171930986286783,0.9345636494938956,-0.14676226833624953,5.8806238217386895,0.19555113941420446,10.399434332754712
8.657314629258517,-0.23365587344146874,0.8964574223753116,-0.16203848038210614,5.855870254707158,0.18381436351327507,10.369024272399804
8.817635270541082,-0.2250055232037379,0.8596909777544531,-0.17683247041784414,5.828706250635018,0.17207612643097603,10.34049597661269
8.977955911823647,-0.21583606352256793,0.8243529748104608,-0.19113335039769327,5.799209992453411,0.1603425171516175,10.313849191555969
9.138276553106213,-0.20621400656422026,0.790521305865628,-0.20493107121518783,5.767461341422319,0.1486195736491393,10.28908269129138
9.298597194388778,-0.19620435301846953,0.7582633211295405,-0.21821642107030964,5.7335417027621585,0.13691328016829607,10.266194286175754
9.458917835671341,-0.18587039074993075,0.7276360871601301,-0.23098102276735216,5.697533891632887,0.12522956455536544,10.245180831688888
9.619238476953907,-0.17527351130534058,0.6986866761737355,-0.24321732996592477,5.65952199963022,0.1135742956393682,10.226038237685302
9.779559118236472,-0.1644730441380462,0.6714524833526222,-0.25491862240849994,5.619591261964935,0.10195328066475332,10.208761478061724
9.939879759519037,-0.15352610834184846,0.6459615693261778,-0.2660790001488318,5.5778279254873935,0.0903722627764625,10.193344600831967
10.100200400801603,-0.1424874816217439,0.622233025040519,-0.27669337680645334,5.534319117715427,0.0788369185582632,10.179780738600726
10.260521042084168,-0.13140948616903142,0.6002773562797353,-0.28675747187329714,5.489152717019655,0.06735285562519457,10.168062119427706
