r,x_stable,x_saddle
-0.10921843687374744,nan,nan
-0.10651302605210416,nan,nan
-0.10380761523046086,nan,nan
-0.10110220440881759,nan,nan
-0.09839679358717429,nan,nan
-0.09569138276553102,nan,nan
-0.09298597194388775,nan,nan
-0.09028056112224442,nan,nan
-0.08757515030060115,nan,nan
-0.08486973947895787,nan,nan
-0.08216432865731454,nan,nan
-0.07945891783567127,nan,nan
-0.076753507014028,nan,nan
-0.07404809619238473,nan,nan
-0.0713426853707414,nan,nan
-0.06863727454909813,nan,nan
-0.06593186372745485,nan,nan
-0.06322645290581158,nan,nan
-0.06052104208416825,nan,nan
-0.05781563126252498,nan,nan
-0.05511022044088171,nan,nan
-0.052404809619238435,nan,nan
-0.04969939879759511,nan,nan
-0.046993987975951834,nan,nan
-0.04428857715430856,nan,nan
-0.04158316633266529,nan,nan
-0.03887775551102196,nan,nan
-0.03617234468937869,nan,nan
-0.033466933867735416,nan,nan
-0.030761523046092143,nan,nan
-0.028056112224448815,nan,nan
-0.025350701402805542,nan,nan
-0.02264529058116227,nan,nan
-0.019939879759518997,nan,nan
-0.01723446893787567,nan,nan
-0.014529058116232396,nan,nan
-0.011823647294589124,nan,nan
-0.009118236472945851,nan,nan
-0.006412825651302523,nan,nan
-0.00370741482965925,nan,nan
-0.0010020040080159776,nan,nan
0.0017034068136273506,0.04127234926227668,-0.04127234926227668
0.004408817635270623,0.06639892796778141,-0.06639892796778141
0.007114228456913896,0.08434588583276541,-0.08434588583276541
0.009819639278557168,0.09909409305582835,-0.09909409305582835
0.012525050100200497,0.11191537025896173,-0.11191537025896173
0.01523046092184377,0.12341175358062038,-0.12341175358062038
0.017935871743487042,0.13392487350558538,-0.13392487350558538
0.020641282565130314,0.14367074359496548,-0.14367074359496548
0.023346693386773643,0.15279624794730282,-0.15279624794730282
0.026052104208416915,0.16140664239248928,-0.16140664239248928
0.028757515030060188,0.1695804087448199,-0.1695804087448199
0.03146292585170346,0.17737791816261533,-0.17737791816261533
