# t,rho,B,strain,J
6.029999999999999361e+00,3.040466351257982147e-01,9.698766248192324246e-01,6.019327762897383818e-03,5.621044316376793137e-01
6.059999999999999609e+00,3.049177085725129355e-01,9.696513566971628473e-01,6.050926814058592111e-03,5.610920248711460667e-01
6.089999999999999858e+00,3.057869600746777050e-01,9.694253728013055849e-01,6.082886830168468713e-03,5.600828422471629819e-01
6.120000000000000107e+00,3.066543952495541792e-01,9.691986837570439883e-01,6.114172916811362254e-03,5.590768652666122662e-01
6.149999999999999467e+00,3.075200196959291810e-01,9.689713002974468248e-01,6.144775786592266906e-03,5.580740833454080896e-01
6.179999999999999716e+00,3.083838389943273639e-01,9.687432332616271458e-01,6.174686263698322269e-03,5.570744860263262543e-01
6.209999999999999964e+00,3.092458587072204890e-01,9.685144935930743992e-01,6.203895285977728546e-03,5.560780629770374350e-01
6.240000000000000213e+00,3.101060843792336486e-01,9.682850923379628938e-01,6.232393906995804984e-03,5.550848039881454143e-01
6.269999999999999574e+00,3.109645215373479377e-01,9.680550217093584209e-01,6.261622412617141517e-03,5.540946989712318693e-01
6.299999999999999822e+00,3.118211756732501283e-01,9.678242847366618218e-01,6.290753206144220240e-03,5.531077271387391248e-01
6.330000000000000071e+00,3.126760522537594955e-01,9.675928822182825462e-01,6.319949947795680534e-03,5.521238740185037130e-01
6.359999999999999432e+00,3.135291567188929762e-01,9.673608254441760090e-01,6.348415672398933889e-03,5.511431239631287005e-01
6.389999999999999680e+00,3.143804944918881517e-01,9.671281258014687854e-01,6.376141809268848215e-03,5.501654673967014686e-01
6.419999999999999929e+00,3.152300709793919853e-01,9.668947947726171943e-01,6.403119915568718581e-03,5.491908948559821591e-01
6.450000000000000178e+00,3.160778915716466742e-01,9.666608439335430125e-01,6.429341678192011973e-03,5.482193969884755491e-01
6.479999999999999538e+00,3.169239616426721140e-01,9.664262849517477605e-01,6.454798915616391172e-03,5.472509645505111431e-01
6.509999999999999787e+00,3.177682865504452558e-01,9.661911295844042291e-01,6.479483579729701168e-03,5.462855884053307021e-01
6.540000000000000036e+00,3.186108716370761318e-01,9.659553896764290215e-01,6.503387757627296199e-03,5.453232595211829903e-01
6.569999999999999396e+00,3.194517222289809943e-01,9.657190771585320022e-01,6.526503673380419472e-03,5.443639689694292905e-01
6.599999999999999645e+00,3.202908436370521805e-01,9.654822040452473164e-01,6.548823689775223542e-03,5.434077079226539153e-01
6.629999999999999893e+00,3.211282411568245898e-01,9.652447824329428716e-01,6.570340310021842434e-03,5.424544676527852660e-01
6.660000000000000142e+00,3.219639200686396086e-01,9.650068244978136089e-01,6.591046179433348966e-03,5.415042395292246624e-01
6.689999999999999503e+00,3.227978856378052597e-01,9.647683424938520158e-01,6.610934087074085523e-03,5.405570150169850541e-01
6.719999999999999751e+00,3.236301431147539098e-01,9.645293339547429401e-01,6.631131358889474740e-03,5.396127856748359486e-01
6.750000000000000000e+00,3.244606977215619970e-01,9.642898085425912758e-01,6.650707962245626555e-03,5.386715348901383038e-01
6.779999999999999361e+00,3.252895546632986745e-01,9.640497788858368722e-01,6.669435357929355893e-03,5.377332529251888094e-01
6.809999999999999609e+00,3.261167191308525504e-01,9.638092576850482152e-01,6.687306716201391228e-03,5.367979317534828931e-01
6.839999999999999858e+00,3.269421963010771814e-01,9.635682577107136382e-01,6.704315365737584069e-03,5.358655634352498254e-01
6.870000000000000107e+00,3.277659913369337374e-01,9.633267918010162134e-01,6.720454795147570888e-03,5.349361401155929840e-01
6.899999999999999467e+00,3.285881093876304448e-01,9.630848728595902131e-01,6.735718654457573118e-03,5.340096540226377808e-01
6.929999999999999716e+00,3.294085555887590333e-01,9.628425138532638039e-01,6.750100756556800911e-03,5.330860974656903561e-01
6.959999999999999964e+00,3.302273350624281845e-01,9.625997278097845333e-01,6.763595078607199593e-03,5.321654628334060444e-01
6.989999999999999325e+00,3.310444529173937056e-01,9.623565278155329361e-01,6.776195763416231754e-03,5.312477425919666096e-01
7.019999999999999574e+00,3.318599142491859832e-01,9.621129270132191547e-01,6.787897120772304685e-03,5.303329292832714703e-01
7.049999999999999822e+00,3.326737241402343281e-01,9.618689385995675689e-01,6.798693628742474501e-03,5.294210155231353632e-01
7.080000000000000071e+00,3.334858876599882671e-01,9.616245734177460980e-01,6.808763818182607397e-03,5.285119939994989968e-01
7.109999999999999432e+00,3.342964098628585790e-01,9.613798224201846043e-01,6.819627407845046778e-03,5.276058561509873179e-01
7.139999999999999680e+00,3.351052957703240520e-01,9.611346985821753730e-01,6.829600682756368710e-03,5.267025825701693309e-01
7.169999999999999929e+00,3.359125503910331267e-01,9.608892149248362546e-01,6.838678752648921430e-03,5.258021660289395882e-01
7.199999999999999289e+00,3.367181787209161947e-01,9.606433845128566906e-01,6.846856892062561095e-03,5.249045993657288633e-01
7.229999999999999538e+00,3.375221857432947337e-01,9.603972204522376321e-01,6.854130541347140670e-03,5.240098754838211637e-01
7.259999999999999787e+00,3.383245764289879443e-01,9.601507358880171372e-01,6.860495307628172376e-03,5.231179873496846211e-01
7.290000000000000036e+00,3.391253557364163895e-01,9.599039440019909719e-01,6.865946965735530982e-03,5.222289279913110427e-01
7.319999999999999396e+00,3.399245286117031917e-01,9.596568580104239965e-01,6.870481459094968102e-03,5.213426904965688946e-01
