# t,rho,B,strain,J
1.919999999999999929e+00,9.859639474059327113e-02,9.958800465980874872e-01,1.859221807661888635e-03,8.342801641875513541e-01
1.949999999999999956e+00,9.878271957668360859e-02,9.958035570725123353e-01,1.876656264127580468e-03,8.339332011912887754e-01
1.979999999999999982e+00,9.896680671903805571e-02,9.957267794872144417e-01,1.893747056743381356e-03,8.335895300829264665e-01
2.009999999999999787e+00,9.914868317787753349e-02,9.956497198638309953e-01,1.910493252914953173e-03,8.332491108281954162e-01
2.040000000000000036e+00,9.932837559728492638e-02,9.955723842178597627e-01,1.926893919659385373e-03,8.329119040443585531e-01
2.069999999999999840e+00,9.950591026129418371e-02,9.954947785588303955e-01,1.942948125656425700e-03,8.325778709884894546e-01
2.100000000000000089e+00,9.968131309985514554e-02,9.954169088904428753e-01,1.958654943240750908e-03,8.322469735459921969e-01
2.129999999999999893e+00,9.985460969467699344e-02,9.953387812106797572e-01,1.974013450336611908e-03,8.319191742193502437e-01
2.160000000000000142e+00,1.000258252849533097e-01,9.952604015118879932e-01,1.989022732336143996e-03,8.315944361171027088e-01
2.189999999999999947e+00,1.001949847729717430e-01,9.951817757808353315e-01,2.003681883922556455e-03,8.312727229430393328e-01
2.219999999999999751e+00,1.003621127296109444e-01,9.951029099987392934e-01,2.017990010839357945e-03,8.309539989856115083e-01
2.250000000000000000e+00,1.005272333997275780e-01,9.950238101412705038e-01,2.031946231606903547e-03,8.306382291075504742e-01
2.279999999999999805e+00,1.006903707074360138e-01,9.949444770798102633e-01,2.045928894220410636e-03,8.303253787356903448e-01
2.310000000000000053e+00,1.008515482542649000e-01,9.948649158444673457e-01,2.059627661855425139e-03,8.300154095974678903e-01
2.339999999999999858e+00,1.010107893300480481e-01,9.947851323706931037e-01,2.072973983464982718e-03,8.297082874530985475e-01
2.370000000000000107e+00,1.011681169191652185e-01,9.947051325915741149e-01,2.085966792953114057e-03,8.294039793596877930e-01
2.399999999999999911e+00,1.013235537054209962e-01,9.946249224376497722e-01,2.098605049675393054e-03,8.291024529023107714e-01
2.429999999999999716e+00,1.014771220768283383e-01,9.945445078367093350e-01,2.110887739846714801e-03,8.288036761847148437e-01
2.459999999999999964e+00,1.016288441302990314e-01,9.944638947135697737e-01,2.122813877903549640e-03,8.285076178202002151e-01
2.489999999999999769e+00,1.017787416762431923e-01,9.943830889898330749e-01,2.134382507821443956e-03,8.282142469226702053e-01
2.520000000000000018e+00,1.019268362430799796e-01,9.943020965836228964e-01,2.145592704388797709e-03,8.279235330978518270e-01
2.549999999999999822e+00,1.020731490816614434e-01,9.942209234093057901e-01,2.156443574437603896e-03,8.276354464346752371e-01
2.580000000000000071e+00,1.022177011696116800e-01,9.941395753771914423e-01,2.166934258032067635e-03,8.273499574968183889e-01
2.609999999999999876e+00,1.023605132155830238e-01,9.940580583932188130e-01,2.177063929615851226e-03,8.270670373144022314e-01
2.639999999999999680e+00,1.025016056634313055e-01,9.939763783586211821e-01,2.186831799118823388e-03,8.267866573758424487e-01
2.669999999999999929e+00,1.026409986963119775e-01,9.938945411695805365e-01,2.196237113023926345e-03,8.265087896198455297e-01
2.699999999999999734e+00,1.027787122406988302e-01,9.938125527168620854e-01,2.205279155394997744e-03,8.262334064275547174e-01
2.729999999999999982e+00,1.029147659703270878e-01,9.937304188854352294e-01,2.213957248866270811e-03,8.259604806148339584e-01
2.759999999999999787e+00,1.030491793100626191e-01,9.936481455540814300e-01,2.222270755594255714e-03,8.256899854246915194e-01
2.790000000000000036e+00,1.031819714396987470e-01,9.935657385949856479e-01,2.230219078172620585e-03,8.254218945198403823e-01
2.819999999999999840e+00,1.033131612976824348e-01,9.934832038733165671e-01,2.237801660510843702e-03,8.251561819753887583e-01
2.850000000000000089e+00,1.034427675847713196e-01,9.934005472467937192e-01,2.245017988677216244e-03,8.248928222716618297e-01
2.879999999999999893e+00,1.035708087676230488e-01,9.933177745652412849e-01,2.251867591706928958e-03,8.246317902871492800e-01
2.909999999999999698e+00,1.036973030823186148e-01,9.932348916701301267e-01,2.258350042375684673e-03,8.243730612915770584e-01
2.939999999999999947e+00,1.038222685378208110e-01,9.931519018419908695e-01,2.264654999655035025e-03,8.241166109390974936e-01
2.969999999999999751e+00,1.039457229158763374e-01,9.930688074103833918e-01,2.270852377443900640e-03,8.238624131445093646e-01
3.000000000000000000e+00,1.040676837731025622e-01,9.929856140687196575e-01,2.276690815243482581e-03,8.236104414198536228e-01
3.029999999999999805e+00,1.041881684489328330e-01,9.929023275005594007e-01,2.282170041666589481e-03,8.233606724487502193e-01
3.060000000000000053e+00,1.043071940688310162e-01,9.928189533791325072e-01,2.287289830126768616e-03,8.231130832736269776e-01
3.089999999999999858e+00,1.044247775474480278e-01,9.927354973668510718e-01,2.292049999392021392e-03,8.228676512895023443e-01
3.120000000000000107e+00,1.045409355917215760e-01,9.926519651148151269e-01,2.296450414109392837e-03,8.226243542378717244e-01
3.149999999999999911e+00,1.046556847039202959e-01,9.925683619517119416e-01,2.300514125142922531e-03,8.223831702007012856e-01
3.179999999999999716e+00,1.047690411842090441e-01,9.924846905483377668e-01,2.304438214295220690e-03,8.221440773372532540e-01
3.209999999999999964e+00,1.048810211299755074e-01,9.924009565489264606e-01,2.308000328526797935e-03,8.219070519455120571e-01
3.239999999999999769e+00,1.049916404428423294e-01,9.923171655851625861e-01,2.311200458505627796e-03,8.216720731269797628e-01
3.270000000000000018e+00,1.051009148315002889e-01,9.922333232755985444e-01,2.314038646781994314e-03,8.214391203010671383e-01
3.299999999999999822e+00,1.052088598144913512e-01,9.921494352250679327e-01,2.316514988111971571e-03,8.212081731995322098e-01
3.330000000000000071e+00,1.053154907229427450e-01,9.920655070240940177e-01,2.318629629754758760e-03,8.209792118610129696e-01
3.359999999999999876e+00,1.054208227032529532e-01,9.919815442482906587e-01,2.320382771744176984e-03,8.207522166256513430e-01
3.389999999999999680e+00,1.055248707197307262e-01,9.918975488424148779e-01,2.322044242294914705e-03,8.205271681298027531e-01
3.419999999999999929e+00,1.056276495522546210e-01,9.918135199025123194e-01,2.323825749553819035e-03,8.203040443109264057e-01
3.449999999999999734e+00,1.057291737950146471e-01,9.917294628208676022e-01,2.325257204933379573e-03,8.200828210597354007e-01
3.479999999999999982e+00,1.058294578677301256e-01,9.916453829741473935e-01,2.326338901494306999e-03,8.198634797834835064e-01
3.509999999999999787e+00,1.059285160181122204e-01,9.915612857228183197e-01,2.327071183435690683e-03,8.196460021667426599e-01
3.540000000000000036e+00,1.060263623242840431e-01,9.914771764105669849e-01,2.327454446222021640e-03,8.194303701665549555e-01
3.569999999999999840e+00,1.061230106971591675e-01,9.913930603637126637e-01,2.327489136688561805e-03,8.192165660076689004e-01
3.599999999999999645e+00,1.062184748827793845e-01,9.913089380949458018e-01,2.327533658791026191e-03,8.190045721778473897e-01
3.629999999999999893e+00,1.063127684580767313e-01,9.912248064822561933e-01,2.327858693938168570e-03,8.187943674621576129e-01
3.659999999999999698e+00,1.064059048282814390e-01,9.911406706604676264e-01,2.327847555351638884e-03,8.185859279255072174e-01
3.689999999999999947e+00,1.064978972405506707e-01,9.910565357473848369e-01,2.327500702154526504e-03,8.183792367369913112e-01
3.719999999999999751e+00,1.065887587861542862e-01,9.909723986212626290e-01,2.327432673167479597e-03,8.181742773128209967e-01
3.750000000000000000e+00,1.066785023914258584e-01,9.908882568564107984e-01,2.327591096911311389e-03,8.179710265254198642e-01
3.779999999999999805e+00,1.067671408209787814e-01,9.908041105992946296e-01,2.327783586671361600e-03,8.177694620960772598e-01
3.810000000000000053e+00,1.068546866834286374e-01,9.907199519307354763e-01,2.328612296095041584e-03,8.175695641370732680e-01
3.839999999999999858e+00,1.069411524225570564e-01,9.906357683981052986e-01,2.330416279292448194e-03,8.173713063643779364e-01
3.869999999999999662e+00,1.070265503133780022e-01,9.905515361001050456e-01,2.334052026451801775e-03,8.171746590288651024e-01
3.899999999999999911e+00,1.071108924488302500e-01,9.904672323559342573e-01,2.339429309080292684e-03,8.169795832206874220e-01
3.929999999999999716e+00,1.071941907438555830e-01,9.903828388142340566e-01,2.346225020146236635e-03,8.167860413427410204e-01
3.959999999999999964e+00,1.072764569436489290e-01,9.902983442155918192e-01,2.353908623127649348e-03,8.165939996662631151e-01
