Z_sem_sync,coordination_success,quotient_mismatch,false_coordination
0.6992805755395683,0.9374076288762043,0.1460709814898898,0.021727824724500147
0.7122302158273381,0.93021054684456,0.15947248713007486,0.02465773414207385
0.7251798561151079,0.9222545538259476,0.17385320943133056,0.027971433427722424
0.7381294964028777,0.9134759416370728,0.18923877255116472,0.03171597270779558
0.7510791366906474,0.903809479298674,0.2056469891660221,0.03594325773833511
0.7640287769784172,0.8931893549014116,0.22308643860360117,0.040710290348848564
0.776978417266187,0.881550360610761,0.24155507920348215,0.04607933919405998
0.7899280575539568,0.8688293384203815,0.2610389584346327,0.052118010815934854
0.8028776978417266,0.8549668946580269,0.2815110920840693,0.05889918470841408
0.8158273381294964,0.839909377535744,0.30293058818601826,0.06650076955809814
0.8287769784172662,0.8236110939257721,0.3252420910281686,0.07500523160798385
0.841726618705036,0.806036719166785,0.3483756144992438,0.08449884091074872
0.8546762589928057,0.7871638278008033,0.37224682158822886,0.09507057815170442
0.8676258992805755,0.7669854452225745,0.39675778797426897,0.10681064509858834
0.8805755395683453,0.745512492680686,0.4217982630742743,0.11980852724597464
0.8935251798561151,0.7227759741498583,0.4472474131670239,0.13415056974548512
0.9064748201438849,0.6988287371986581,0.4729760005497777,0.14991704914126075
0.9194244604316546,0.6737466352414568,0.4988489228968521,0.16717875533948398
0.9323741007194244,0.6476289292156682,0.5247280110684283,0.18599314141817241
0.9453237410071942,0.6205977952902328,0.5504749643432171,0.20640015273203188
0.958273381294964,0.5927968521979711,0.5759542915818131,0.22841790866661774
0.9712230215827338,0.5643886850499827,0.6010361263725349,0.25203847516672984
0.9841726618705036,0.5355514169971874,0.6255987938211085,0.27722402585014144
0.9971223021582734,0.506474458240426,0.6495310252127511,0.3039037337434782
1.0100719424460431,0.47735363440780487,0.6727337422118939,0.33197175279145735
1.023021582733813,0.4483859537768419,0.6951213618287133,0.36128662737441325
1.0359712230215827,0.41976430726593544,0.7166226040850934,0.3916724016110247
1.0489208633093525,0.39167240161102485,0.7371808133322842,0.42292158694516113
1.0618705035971223,0.3642802037337359,0.7567538291891955,0.4547999935325929
