Delta_sem,policy_preservation,false_merging,proxy_meaning,unsupported_completion
0.4705882352941177,0.7103447151581646,0.3830858900547458,0.19828324656998111,0.033703066217644684
0.4840336134453782,0.6963193917197806,0.4023222560993016,0.2091871668619065,0.03690643269057018
0.49747899159663866,0.681919049211893,0.42186402377480126,0.22052577472271834,0.04040153861411128
0.5109243697478992,0.6671622534546361,0.44165357839347513,0.232298437916215,0.04421244260185256
0.5243697478991597,0.6520701480341872,0.46163020854030706,0.24450244057982162,0.0483646953822792
0.5378151260504203,0.6366663946155925,0.48173082568695974,0.25713284606974335,0.052885333563220484
0.5512605042016807,0.620977076267055,0.5018907472900699,0.27018237524301075,0.05780284936913921
0.5647058823529412,0.6050305633223786,0.5220445231423719,0.2836413039076698,0.06314713139330225
0.5781512605042017,0.5888573422242738,0.5421267827471096,0.29749738314222707,0.06894937093536574
0.5915966386554622,0.572489808758991,0.562073080503683,0.31173578603678315,0.07524192809296547
0.6050420168067228,0.5559620280765155,0.5818207155951115,0.3263390841306062,0.08205815148799096
0.6184873949579832,0.5393094648509711,0.601309504648366,0.34128725640844854,0.08943214538865753
0.6319327731092438,0.5225686878320216,0.620482487413392,0.3565577331706884,0.09739847810135442
0.6453781512605042,0.5057770538298805,0.6392865487241974,0.3721254764169602,0.10599182592427311
0.6588235294117647,0.48897237682722644,0.6576729436611221,0.3879630975930577,0.11524654775701075
0.6722689075630253,0.47219258838982214,0.6755977168888992,0.40404101266745773,0.12519618672774907
0.6857142857142857,0.45547539583056906,0.6930220113497239,0.42032763355457536,0.1358728970090943
0.6991596638655463,0.43885794465513034,0.7099122656023353,0.4367895939204252,0.14730679640922323
0.7126050420168067,0.42237649167749336,0.7262403029025228,0.4533920064307308,0.15952524838672083
0.7260504201680673,0.40606609484781303,0.741983318444072,0.47009874757223635,0.17255208084851298
0.7394957983193278,0.38996032529967545,0.7571237738986102,0.4868727653357274,0.1864067534021519
0.7529411764705882,0.3740910064254634,0.7716492104376862,0.503676404332629,0.20110348953213664
0.7663865546218488,0.3584879839599402,0.7855519927713756,0.5204717423598384,0.21665039526242608
0.7798319327731092,0.34317893013154344,0.7988289974203506,0.5372209320566573,0.23304859097564842
0.7932773109243698,0.3281891839688007,0.811481258514265,0.5538865411315431,0.25029138782011173
