tau,vmax_label,vmax,causal_reach,demand_radius,prediction_burden
1.7218729096989966,relativistic upper bound,1.0,1.7218729096989966,0.55,0.0
1.728494983277592,relativistic upper bound,1.0,1.728494983277592,0.55,0.0
1.7351170568561873,relativistic upper bound,1.0,1.7351170568561873,0.55,0.0
1.7417391304347827,relativistic upper bound,1.0,1.7417391304347827,0.55,0.0
1.7483612040133778,relativistic upper bound,1.0,1.7483612040133778,0.55,0.0
1.7549832775919731,relativistic upper bound,1.0,1.7549832775919731,0.55,0.0
1.7616053511705685,relativistic upper bound,1.0,1.7616053511705685,0.55,0.0
1.7682274247491638,relativistic upper bound,1.0,1.7682274247491638,0.55,0.0
1.7748494983277592,relativistic upper bound,1.0,1.7748494983277592,0.55,0.0
1.7814715719063545,relativistic upper bound,1.0,1.7814715719063545,0.55,0.0
1.7880936454849499,relativistic upper bound,1.0,1.7880936454849499,0.55,0.0
1.7947157190635452,relativistic upper bound,1.0,1.7947157190635452,0.55,0.0
1.8013377926421403,relativistic upper bound,1.0,1.8013377926421403,0.55,0.0
1.8079598662207357,relativistic upper bound,1.0,1.8079598662207357,0.55,0.0
1.814581939799331,relativistic upper bound,1.0,1.814581939799331,0.55,0.0
1.8212040133779264,relativistic upper bound,1.0,1.8212040133779264,0.55,0.0
1.8278260869565217,relativistic upper bound,1.0,1.8278260869565217,0.55,0.0
1.834448160535117,relativistic upper bound,1.0,1.834448160535117,0.55,0.0
1.8410702341137124,relativistic upper bound,1.0,1.8410702341137124,0.55,0.0
1.8476923076923077,relativistic upper bound,1.0,1.8476923076923077,0.55,0.0
1.8543143812709029,relativistic upper bound,1.0,1.8543143812709029,0.55,0.0
1.8609364548494982,relativistic upper bound,1.0,1.8609364548494982,0.55,0.0
1.8675585284280936,relativistic upper bound,1.0,1.8675585284280936,0.55,0.0
1.874180602006689,relativistic upper bound,1.0,1.874180602006689,0.55,0.0
1.8808026755852842,relativistic upper bound,1.0,1.8808026755852842,0.55,0.0
1.8874247491638796,relativistic upper bound,1.0,1.8874247491638796,0.55,0.0
1.894046822742475,relativistic upper bound,1.0,1.894046822742475,0.55,0.0
1.9006688963210703,relativistic upper bound,1.0,1.9006688963210703,0.55,0.0
1.9072909698996654,relativistic upper bound,1.0,1.9072909698996654,0.55,0.0
1.9139130434782607,relativistic upper bound,1.0,1.9139130434782607,0.55,0.0
1.920535117056856,relativistic upper bound,1.0,1.920535117056856,0.55,0.0
1.9271571906354514,relativistic upper bound,1.0,1.9271571906354514,0.55,0.0
1.9337792642140468,relativistic upper bound,1.0,1.9337792642140468,0.55,0.0
1.9404013377926421,relativistic upper bound,1.0,1.9404013377926421,0.55,0.0
1.9470234113712375,relativistic upper bound,1.0,1.9470234113712375,0.55,0.0
1.9536454849498328,relativistic upper bound,1.0,1.9536454849498328,0.55,0.0
1.9602675585284282,relativistic upper bound,1.0,1.9602675585284282,0.55,0.0
1.9668896321070233,relativistic upper bound,1.0,1.9668896321070233,0.55,0.0
1.9735117056856186,relativistic upper bound,1.0,1.9735117056856186,0.55,0.0
1.980133779264214,relativistic upper bound,1.0,1.980133779264214,0.55,0.0
1.9867558528428093,relativistic upper bound,1.0,1.9867558528428093,0.55,0.0
1.9933779264214047,relativistic upper bound,1.0,1.9933779264214047,0.55,0.0
2.0,relativistic upper bound,1.0,2.0,0.55,0.0
0.02,robotic link,0.25,0.005,0.55,26.732250000000004
0.026622073578595317,robotic link,0.25,0.006655518394648829,0.55,26.570090312188906
0.03324414715719064,robotic link,0.25,0.00831103678929766,0.55,26.40842395778571
0.039866220735785954,robotic link,0.25,0.009966555183946488,0.55,26.24725093679042
0.04648829431438127,robotic link,0.25,0.011622073578595318,0.55,26.086571249203033
0.05311036789297659,robotic link,0.25,0.013277591973244147,0.55,25.926384895023546
0.059732441471571904,robotic link,0.25,0.014933110367892976,0.55,25.766691874251965
0.06635451505016722,robotic link,0.25,0.016588628762541805,0.55,25.60749218688829
0.07297658862876254,robotic link,0.25,0.018244147157190634,0.55,25.448785832932526
0.07959866220735785,robotic link,0.25,0.019899665551839463,0.55,25.290572812384656
0.08622073578595318,robotic link,0.25,0.021555183946488296,0.55,25.13285312524469
0.0928428093645485,robotic link,0.25,0.023210702341137125,0.55,24.975626771512626
0.09946488294314382,robotic link,0.25,0.024866220735785954,0.55,24.81889375118847
0.10608695652173913,robotic link,0.25,0.026521739130434784,0.55,24.662654064272218
0.11270903010033445,robotic link,0.25,0.028177257525083613,0.55,24.506907710763866
0.11933110367892977,robotic link,0.25,0.029832775919732442,0.55,24.351654690663416
0.12595317725752508,robotic link,0.25,0.03148829431438127,0.55,24.196895003970877
0.1325752508361204,robotic link,0.25,0.0331438127090301,0.55,24.042628650686236
0.13919732441471572,robotic link,0.25,0.03479933110367893,0.55,23.8888556308095
0.14581939799331103,robotic link,0.25,0.03645484949832776,0.55,23.73557594434067
0.15244147157190635,robotic link,0.25,0.03811036789297659,0.55,23.582789591279745
0.15906354515050167,robotic link,0.25,0.03976588628762542,0.55,23.430496571626716
0.16568561872909698,robotic link,0.25,0.041421404682274246,0.55,23.278696885381596
0.1723076923076923,robotic link,0.25,0.043076923076923075,0.55,23.12739053254438
0.17892976588628762,robotic link,0.25,0.044732441471571904,0.55,22.976577513115064
0.18555183946488293,robotic link,0.25,0.046387959866220733,0.55,22.826257827093666
0.19217391304347825,robotic link,0.25,0.04804347826086956,0.55,22.676431474480157
0.19879598662207357,robotic link,0.25,0.04969899665551839,0.55,22.527098455274555
0.20541806020066888,robotic link,0.25,0.05135451505016722,0.55,22.378258769476858
0.2120401337792642,robotic link,0.25,0.05301003344481605,0.55,22.229912417087064
0.21866220735785952,robotic link,0.25,0.05466555183946488,0.55,22.082059398105173
0.22528428093645483,robotic link,0.25,0.05632107023411371,0.55,21.934699712531184
0.23190635451505015,robotic link,0.25,0.05797658862876254,0.55,21.787833360365102
0.23852842809364547,robotic link,0.25,0.05963210702341137,0.55,21.641460341606923
0.24515050167224078,robotic link,0.25,0.061287625418060196,0.55,21.495580656256646
0.25177257525083613,robotic link,0.25,0.06294314381270903,0.55,21.35019430431427
0.2583946488294314,robotic link,0.25,0.06459866220735785,0.55,21.205301285779804
0.26501672240802676,robotic link,0.25,0.06625418060200669,0.55,21.06090160065324
0.2716387959866221,robotic link,0.25,0.06790969899665553,0.55,20.916995248934576
0.2782608695652174,robotic link,0.25,0.06956521739130435,0.55,20.773582230623823
0.28488294314381274,robotic link,0.25,0.07122073578595318,0.55,20.63066254572097
0.29150501672240803,robotic link,0.25,0.07287625418060201,0.55,20.48823619422602
0.2981270903010034,robotic link,0.25,0.07453177257525084,0.55,20.346303176138974
0.30474916387959866,robotic link,0.25,0.07618729096989967,0.55,20.20486349145983
0.311371237458194,robotic link,0.25,0.0778428093645485,0.55,20.06391714018859
0.3179933110367893,robotic link,0.25,0.07949832775919732,0.55,19.92346412232526
0.32461538461538464,robotic link,0.25,0.08115384615384616,0.55,19.78350443786983
0.33123745819397993,robotic link,0.25,0.08280936454849498,0.55,19.644038086822302
