speed,resource_budget,epsilon_min
9.23913043478261,220,0.3145886659430653
9.304347826086957,220,0.3191710513095251
9.369565217391305,220,0.3237550013090741
9.434782608695652,220,0.328340050437969
9.5,220,0.33292574555044
9.565217391304348,220,0.33751164561347824
9.630434782608695,220,0.34209732146351884
9.695652173913043,220,0.34668235556523086
9.76086956521739,220,0.35126634177260047
9.826086956521738,220,0.355848885092476
9.891304347826086,220,0.36042960145072817
9.956521739130434,220,0.3650081174611584
10.021739130434783,220,0.3695840701972757
10.08695652173913,220,0.37415710696704574
10.152173913043478,220,0.37872688509070757
10.217391304347826,220,0.38329307168173193
10.282608695652174,220,0.38785534343099437
10.347826086956522,220,0.39241338639421813
10.41304347826087,220,0.3969668957827352
10.478260869565217,220,0.40151557575760477
10.543478260869565,220,0.406059139227118
10.608695652173912,220,0.4105973076477145
10.67391304347826,220,0.4151298108283239
10.739130434782608,220,0.41965638673814165
10.804347826086957,220,0.4241767813178452
10.869565217391305,220,0.4286907482942432
10.934782608695652,220,0.4331980489983563
11.0,220,0.4376984521869125
11.065217391304348,220,0.4421917338672438
11.130434782608695,220,0.44667767712556344
11.195652173913043,220,0.4511560719586
11.26086956521739,220,0.4556267151085631
11.326086956521738,220,0.4600894099014094
11.391304347826086,220,0.46454396608837795
11.456521739130434,220,0.468990199690762
11.521739130434783,220,0.47342793284787793
11.58695652173913,220,0.47785699366819645
11.652173913043478,220,0.48227721608359436
11.717391304347826,220,0.48668843970668546
11.782608695652174,220,0.49109050969119167
11.847826086956522,220,0.4954832765953047
11.91304347826087,220,0.4998665962480022
11.978260869565217,220,0.5042403296182643
12.043478260869565,220,0.5086043426871536
12.108695652173912,220,0.5129585063227047
12.17391304347826,220,0.517302696157583
12.239130434782608,220,0.5216367924694615
12.304347826086957,220,0.5259606800640712
12.369565217391305,220,0.5302742481608747
12.434782608695652,220,0.5345773902813221
12.5,220,0.5388700041396343
12.565217391304348,220,0.5431519915360712
12.630434782608695,220,0.5474232582526389
12.695652173913043,220,0.5516837139511849
12.76086956521739,220,0.5559332720738404
12.826086956521738,220,0.5601718497457583
12.891304347826086,220,0.5643993676801061
12.956521739130434,220,0.5686157500852653
13.021739130434781,220,0.5728209245741941
13.08695652173913,220,0.5770148220759082
13.152173913043478,220,0.5811973767490376
13.217391304347826,220,0.5853685258974138
13.282608695652174,220,0.5895282098876478
13.347826086956522,220,0.5936763720686522
13.41304347826087,220,0.5978129586930734
13.478260869565217,220,0.6019379188405823
13.543478260869565,220,0.6060512043429964
13.608695652173912,220,0.61015276971118
13.67391304347826,220,0.6142425720636954
13.739130434782608,220,0.6183205710571577
13.804347826086957,220,0.6223867288182614
13.869565217391305,220,0.6264410098774393
13.934782608695652,220,0.6304833811041164
14.0,220,0.6345138116435254
14.065217391304348,220,0.6385322728550471
14.130434782608695,220,0.6425387382520409
14.195652173913043,220,0.6465331834431333
14.26086956521739,220,0.6505155860749291
14.326086956521738,220,0.6544859257761149
14.391304347826086,220,0.6584441841029204
14.456521739130434,220,0.6623903444859096
14.521739130434781,220,0.6663243921780678
14.58695652173913,220,0.6702463142041568
14.652173913043478,220,0.6741560993113072
14.717391304347826,220,0.6780537379208211
14.782608695652174,220,0.6819392220811548
14.847826086956522,220,0.6858125454220547
14.91304347826087,220,0.6896737031098201
14.978260869565217,220,0.6935226918036655
15.043478260869565,220,0.6973595096131564
15.108695652173912,220,0.7
15.17391304347826,220,0.7
15.239130434782608,220,0.7
15.304347826086957,220,0.7
15.369565217391305,220,0.7
15.434782608695652,220,0.7
15.5,220,0.7
15.565217391304348,220,0.7
15.630434782608695,220,0.7
15.695652173913043,220,0.7
15.76086956521739,220,0.7
15.826086956521738,220,0.7
15.891304347826086,220,0.7
15.956521739130434,220,0.7
16.02173913043478,220,0.7
16.086956521739133,220,0.7
16.152173913043477,220,0.7
16.217391304347828,220,0.7
16.282608695652172,220,0.7
16.347826086956523,220,0.7
16.413043478260867,220,0.7
16.47826086956522,220,0.7
16.543478260869566,220,0.7
16.608695652173914,220,0.7
16.67391304347826,220,0.7
16.73913043478261,220,0.7
16.804347826086957,220,0.7
16.869565217391305,220,0.7
16.934782608695652,220,0.7
17.0,220,0.7
17.065217391304348,220,0.7
17.130434782608695,220,0.7
17.195652173913043,220,0.7
17.26086956521739,220,0.7
17.32608695652174,220,0.7
17.391304347826086,220,0.7
17.456521739130434,220,0.7
17.52173913043478,220,0.7
17.58695652173913,220,0.7
17.652173913043477,220,0.7
17.717391304347824,220,0.7
17.782608695652172,220,0.7
17.84782608695652,220,0.7
17.913043478260867,220,0.7
17.97826086956522,220,0.7
18.043478260869566,220,0.7
18.108695652173914,220,0.7
18.17391304347826,220,0.7
18.23913043478261,220,0.7
18.304347826086957,220,0.7
18.369565217391305,220,0.7
18.434782608695652,220,0.7
18.5,220,0.7
18.565217391304348,220,0.7
18.630434782608695,220,0.7
18.695652173913043,220,0.7
18.76086956521739,220,0.7
18.82608695652174,220,0.7
18.891304347826086,220,0.7
18.956521739130434,220,0.7
19.02173913043478,220,0.7
19.08695652173913,220,0.7
19.152173913043477,220,0.7
19.217391304347824,220,0.7
19.282608695652172,220,0.7
19.34782608695652,220,0.7
19.413043478260867,220,0.7
19.47826086956522,220,0.7
19.543478260869566,220,0.7
19.608695652173914,220,0.7
19.67391304347826,220,0.7
19.73913043478261,220,0.7
19.804347826086957,220,0.7
19.869565217391305,220,0.7
19.934782608695652,220,0.7
20.0,220,0.7
0.5,360,0.0001
0.5652173913043478,360,0.0001
0.6304347826086957,360,0.0001
0.6956521739130435,360,0.0001
0.7608695652173914,360,0.0001
0.8260869565217391,360,0.0001
0.8913043478260869,360,0.0001
0.9565217391304348,360,0.0001
1.0217391304347827,360,0.0001
1.0869565217391304,360,0.0001
1.1521739130434783,360,0.0001
1.2173913043478262,360,0.0001
1.2826086956521738,360,0.0001
1.3478260869565217,360,0.0001
1.4130434782608696,360,0.0001
1.4782608695652173,360,0.0001
1.5434782608695652,360,0.0001
1.608695652173913,360,0.0001
1.6739130434782608,360,0.0001
1.7391304347826086,360,0.0001
1.8043478260869565,360,0.0001
1.8695652173913042,360,0.0001
1.934782608695652,360,0.0001
2.0,360,0.0001
