sample,min_mu,min_Sigma,max_Xhat,physical_ok
309,1.0739058630712712,1.0,0.9999981193618539,True
310,1.047122657799621,1.0,0.9999999883068151,True
311,1.3042076955051443,1.0,0.9999986056810373,True
312,1.3033223950095718,1.0,0.9999929198774967,True
313,1.0190418709669862,1.0,0.9999923308894152,True
314,1.3532023964676347,1.0,0.9999998097747136,True
315,1.2906296105612471,1.0,0.9999934972651507,True
316,1.3975391112257545,1.0,0.9999939467740329,True
317,1.0995550799816534,1.0,0.9999964570940757,True
318,1.2663795599853458,1.0,0.9999994068198896,True
319,1.1880885540455235,1.0,0.9999999981083001,True
320,1.2241541166074683,1.0,0.9999939109475815,True
321,1.1330686187354613,1.0,0.9999972494517674,True
322,1.0106853494132957,1.0,0.9999999919699989,True
323,1.1709289807225636,1.0,0.9999989605131967,True
324,1.2409326161435223,1.0,0.9999992047280041,True
325,1.0345012173936967,1.0,0.9999930425303318,True
326,1.18728096619871,1.0,0.9999973676726964,True
327,1.320736568393421,1.0,0.9999954377502824,True
328,1.2190986404848965,1.0,0.9999990981407582,True
329,1.1670192249657116,1.0,0.9999998409334235,True
330,1.0291981279948974,1.0,0.9999998283323477,True
331,1.0226412031107426,1.0,0.9999965533527384,True
332,1.1634647846289958,1.0,0.9999998501333324,True
333,1.3092369213875623,1.0,0.9999998730754783,True
334,1.2393296944806778,1.0,0.9999936528958631,True
335,1.0583488401766084,1.0,0.9999958276228021,True
336,1.0992116370954474,1.0,0.9999935964322024,True
337,1.229020242246302,1.0,0.9999996332837711,True
338,1.1810310279462426,1.0,0.999996120527275,True
339,1.31767422138549,1.0,0.9999947911918025,True
340,1.3724058865230693,1.0,0.9999999999236113,True
341,1.1980800686511317,1.0,0.99999666926744,True
342,1.0716398191854268,1.0,0.9999999808502756,True
343,1.2790479890158357,1.0,0.9999999992150725,True
344,1.269617575911334,1.0,0.9999950894761719,True
345,1.1279650893172628,1.0,0.9999974572600056,True
346,1.108885979628914,1.0,0.9999944474404113,True
347,1.2865897443530883,1.0,0.9999950627354178,True
348,1.2340242012871412,1.0,0.9999952793625421,True
349,1.3257085271845033,1.0,0.9999984583248878,True
350,1.134393460414228,1.0,0.9999969413825044,True
351,1.3803611350615206,1.0,0.99999455417858,True
352,1.2425335022579647,1.0,0.9999961559782549,True
353,1.2061368051789443,1.0,0.9999913977717273,True
354,1.1261074735441305,1.0,0.9999990953288396,True
355,1.1945092098406058,1.0,0.9999926610118277,True
356,1.074915074183,1.0,0.9999982581885213,True
357,1.1075819395144353,1.0,0.9999967055067515,True
358,1.047122657799621,1.0,0.9999999883068151,True
359,1.243368093807046,1.0,0.9999989163766894,True
360,1.2981555806742304,1.0,0.9999927805586937,True
361,1.0190418709669862,1.0,0.9999923308894152,True
362,1.3592249902034612,1.0,0.9999945223513407,True
363,1.3362178300471141,1.0,0.9999991640515995,True
364,1.3197398612197384,1.0,0.999999445500675,True
365,1.185070191178421,1.0,0.9999996647116272,True
366,1.2356952491457889,1.0,0.9999987099140847,True
367,1.2357105782504914,1.0,0.9999962441897647,True
368,1.213108062883373,1.0,0.999998424721686,True
369,1.1330686187354613,1.0,0.9999972494517674,True
370,1.0793635758787812,1.0,0.9999977056273992,True
371,1.1697377522785992,1.0,0.9999972130316663,True
372,1.2409326161435223,1.0,0.9999992047280041,True
373,1.0575425419284827,1.0,0.9999978393147755,True
374,1.1921005237011284,1.0,0.9999992695583921,True
375,1.3222135764364888,1.0,0.999999790045957,True
376,1.2783967381139842,1.0,0.9999987350198647,True
377,1.163451800212313,1.0,0.9999918839356542,True
378,0.9996569709448988,1.0,0.9999960197026476,True
379,1.0256850075803534,1.0,0.9999929599527955,True
380,1.1634647846289958,1.0,0.9999998501333324,True
381,1.3092369213875623,1.0,0.9999998730754783,True
382,1.2393296944806778,1.0,0.9999936528958631,True
383,1.095251253653361,1.0,0.9999903222184875,True
384,1.1052675290884657,1.0,0.9999946273341704,True
385,1.2425426569467208,1.0,0.9999982748474696,True
386,1.105938228034908,1.0,0.9999932471491082,True
387,1.31767422138549,1.0,0.9999947911918025,True
388,1.3168680966512438,1.0,0.9999977920847146,True
389,1.1980800686511317,1.0,0.99999666926744,True
390,1.0716398191854268,1.0,0.9999999808502756,True
391,1.2790479890158357,1.0,0.9999999992150725,True
392,1.269617575911334,1.0,0.9999950894761719,True
393,1.1279650893172628,1.0,0.9999974572600056,True
394,1.108885979628914,1.0,0.9999944474404113,True
395,1.2865897443530883,1.0,0.9999950627354178,True
396,1.2465963230748018,1.0,0.9999999067338655,True
397,1.35192667094144,1.0,0.9999997269181745,True
398,1.134393460414228,1.0,0.9999969413825044,True
399,1.358062076307161,1.0,0.9999980817436954,True
400,1.238023152053852,1.0,0.9999962096615731,True
401,1.2061368051789443,1.0,0.9999913977717273,True
402,1.1286045093353247,1.0,0.9999954134473754,True
403,1.1945092098406058,1.0,0.9999926610118277,True
404,1.0756719271592123,1.0,0.9999995524204585,True
405,1.1075819395144353,1.0,0.9999967055067515,True
406,1.047122657799621,1.0,0.9999999883068151,True
407,1.2470458073387851,1.0,0.9999947387883862,True
408,1.2981555806742304,1.0,0.9999927805586937,True
409,1.0190418709669862,1.0,0.9999923308894152,True
410,1.3592249902034612,1.0,0.9999945223513407,True
411,1.2934832934527802,1.0,0.9999962178106473,True
412,1.2853428821840744,1.0,0.9999997978320496,True
413,1.145534189072099,1.0,0.9999988317350853,True
414,1.234065979297743,1.0,0.9999966852272054,True
415,1.2357105782504914,1.0,0.9999962441897647,True
416,1.1931784016975402,1.0,0.9999967262417976,True
417,1.1330686187354613,1.0,0.9999972494517674,True
418,1.0948707999044227,1.0,0.9999990308707032,True
419,1.248075850241697,1.0,0.999999909767129,True
420,1.2409326161435223,1.0,0.9999992047280041,True
421,1.0575425419284827,1.0,0.9999978393147755,True
422,1.1921005237011284,1.0,0.9999992695583921,True
423,1.3222135764364888,1.0,0.999999790045957,True
424,1.2793263497148577,1.0,0.9999912984809749,True
425,1.163451800212313,1.0,0.9999918839356542,True
426,1.0479948735055866,1.0,0.999994887968033,True
427,1.037755677803904,1.0,0.9999924890033888,True
428,1.1634647846289958,1.0,0.9999998501333324,True
429,1.304386840630954,1.0,0.9999993377506007,True
430,1.2331060856088645,1.0,0.9999919850184601,True
431,1.0034325937982427,1.0,0.9999950684072373,True
432,1.1869464032426185,1.0,0.9999979762541927,True
433,1.2425426569467208,1.0,0.9999982748474696,True
434,1.105938228034908,1.0,0.9999932471491082,True
435,1.3189370935145313,1.0,0.9999908711166284,True
