Omega_m,s_H,s_Sigma,q_BAO,sigma8_0,mu0,Sigma0,kappa_BW
0.28917685999492154,2.7031319992759544,3.825497113652266,29.938815946213126,0.7608957164896385,0.0,-0.16953392323836539,0.5710751001282758
0.3003727877470338,2.4964442254594106,1.3744434355971147,30.791494188817385,0.7544928974034876,0.0,-0.29562318095152745,0.5870713750055478
0.3040471025540784,2.5632932215928528,2.167954314944927,30.526420623976147,0.7837504707190361,0.0,-0.3000237930804099,0.6870142803249414
0.28857767657915945,2.585552822725908,4.501371264334669,30.22591831599657,0.7939368400618696,0.0,-0.48453560783235305,1.1691130604851694
0.301957393694736,2.6253392500871695,3.10929623649108,30.383806072550026,0.7600776332859195,0.0,-0.17667108064749731,0.4715494769297346
0.3048004133667341,2.5341603022638592,1.7169281428866174,30.66996790926315,0.809294779897245,0.0,-0.47233397020871126,1.013941002675665
0.2965285762478904,2.6618483447758297,4.738338344590017,30.402768542482026,0.7760444876030592,0.0,-0.3835630895270107,1.1342931007471657
0.3184528067223069,2.5067418581408556,1.8638380223569742,31.074045486106822,0.8036375479716756,0.0,-0.6117720214920092,1.2402674574943109
0.3080751404921519,2.581108762206038,2.739483900044732,30.67718502719502,0.7526716422065641,0.0,-0.4929420104399401,1.176778041565054
0.3031480146583487,2.745155877704774,3.452835109733052,30.085549470760483,0.7651954401249551,0.0,-0.3543829847056485,1.3905872402076092
0.3005408001472705,2.6273894048443363,4.597956573642518,30.42110341232523,0.7575914110077895,0.0,-0.5355024689383181,1.4371638270634892
0.29463173053872604,2.67077328900426,3.902566175540237,30.27490823141028,0.7750858849029216,0.0,-0.24912074742332674,0.7566844946142609
0.2866995606425875,2.50185776185625,1.3436266437538056,30.425347459484726,0.7383531959385236,0.0,-0.2326260647522649,0.4669872316371121
0.30246900123556947,2.7833607004784984,1.1381353618480659,30.194935781537897,0.7719448553555011,0.0,-0.46029026998628825,2.124684999457377
0.30556352617234894,2.392264292027843,1.4393768222552605,31.018263929059454,0.7775200008456821,0.0,-0.3646440820590311,0.6000043724199552
0.29882992935120306,2.515022102112784,1.261976497337153,30.59504257446344,0.7686555758647798,0.0,-0.1128259636407625,0.23264145465655994
0.29912633820547263,2.7034184430149875,2.324867538720336,30.18958504522113,0.7849943483001416,0.0,-0.2760428821022533,0.9307486443474395
0.2990001545467616,2.6688040361225025,3.7517292498527994,30.09485660780337,0.722482387011729,0.0,-0.39472400063444796,1.1918140426990473
0.29271467092510933,2.6360169948792853,3.3103439790094433,30.171864134962064,0.7644848281652261,0.0,-0.211657369520396,0.5815034398383517
0.3003727877470338,2.4964442254594106,1.3744434355971147,30.791494188817385,0.7544928974034876,0.0,-0.29562318095152745,0.5870713750055478
0.2998300378432349,2.5910338773172708,2.359790060108101,30.3178918946059,0.7797810434082443,0.0,-0.18216536547252898,0.4454289863364809
0.29076546983632506,2.5866185025415236,4.084984267123868,30.24380071155752,0.7911845327246101,0.0,-0.4257458514534541,1.0299102743373745
0.30166111155278175,2.625768042272393,3.4206512289818183,30.39160685332978,0.7595576370856991,0.0,-0.2517210711782548,0.6726338196949914
0.3048004133667341,2.5341603022638592,1.7169281428866174,30.66996790926315,0.809294779897245,0.0,-0.47233397020871126,1.013941002675665
0.2965285762478904,2.6618483447758297,4.738338344590017,30.402768542482026,0.7760444876030592,0.0,-0.3835630895270107,1.1342931007471657
0.3184528067223069,2.5067418581408556,1.8638380223569742,31.074045486106822,0.8036375479716756,0.0,-0.6117720214920092,1.2402674574943109
0.3080751404921519,2.581108762206038,2.739483900044732,30.67718502719502,0.7526716422065641,0.0,-0.4929420104399401,1.176778041565054
0.3048110223064687,2.8224035740179234,4.000681697745971,29.96909681018804,0.7578849701716793,0.0,-0.44070041062047777,2.481471168034396
0.3005408001472705,2.6273894048443363,4.597956573642518,30.42110341232523,0.7575914110077895,0.0,-0.5355024689383181,1.4371638270634892
0.29463173053872604,2.67077328900426,3.902566175540237,30.27490823141028,0.7750858849029216,0.0,-0.24912074742332674,0.7566844946142609
0.2866995606425875,2.50185776185625,1.3436266437538056,30.425347459484726,0.7383531959385236,0.0,-0.2326260647522649,0.4669872316371121
0.3020649220670483,2.7535646312731688,1.1518865667286637,30.23936326891444,0.7715796168101032,0.0,-0.42170815551857,1.7112322703403227
0.30556352617234894,2.392264292027843,1.4393768222552605,31.018263929059454,0.7775200008456821,0.0,-0.3646440820590311,0.6000043724199552
0.29882992935120306,2.515022102112784,1.261976497337153,30.59504257446344,0.7686555758647798,0.0,-0.1128259636407625,0.23264145465655994
0.29918212857560567,2.718722727200391,1.6940002472982978,30.23146792165416,0.8126331526718703,0.0,-0.22356965697665965,0.7948372605842846
0.3006676376325198,2.6300270276143607,3.1837014196224196,30.262312060972008,0.7475868359014849,0.0,-0.4185040417534983,1.131174634338621
0.29271467092510933,2.6360169948792853,3.3103439790094433,30.171864134962064,0.7644848281652261,0.0,-0.211657369520396,0.5815034398383517
0.3003727877470338,2.4964442254594106,1.3744434355971147,30.791494188817385,0.7544928974034876,0.0,-0.29562318095152745,0.5870713750055478
0.2994937326809349,2.598247431158219,2.6020821612729685,30.326537900023535,0.7794004171400853,0.0,-0.20268085302825517,0.5044917413037759
0.28270098224652074,2.451238581614632,4.133387989653247,30.401526526058166,0.8103040304819864,0.0,-0.4171594425478724,0.7601836218283881
0.30194119529050867,2.6310810314200896,3.582922119464458,30.402882402237573,0.7564642349998865,0.0,-0.2623604146043126,0.7111600024640196
0.3046248331298499,2.538003183547255,1.8356834449010955,30.659709774293344,0.8071635794126936,0.0,-0.47493776059979304,1.0280108946343176
0.2965285762478904,2.6618483447758297,4.738338344590017,30.402768542482026,0.7760444876030592,0.0,-0.3835630895270107,1.1342931007471657
0.31863844821376464,2.505491457164453,1.835501395549887,31.08081263080971,0.8041147738763242,0.0,-0.6125624853314214,1.2387298343097268
0.3104176015985912,2.610373732214794,3.3530864553671127,30.689049216656695,0.7156763168293117,0.0,-0.5051653431963073,1.2965382084423431
0.3048110223064687,2.8224035740179234,4.000681697745971,29.96909681018804,0.7578849701716793,0.0,-0.44070041062047777,2.481471168034396
0.3005408001472705,2.6273894048443363,4.597956573642518,30.42110341232523,0.7575914110077895,0.0,-0.5355024689383181,1.4371638270634892
0.29432654141638137,2.6722092497062246,3.768096316700338,30.254336407392028,0.7749316524762573,0.0,-0.2274899209442135,0.6940095800150876
0.2912931196060541,2.5435185541322247,2.4236568256215603,30.42393896706869,0.7447378752327894,0.0,-0.3331431189366576,0.7298064838174301
