external_inverse_bits,residual_inverse_uncertainty,external_cost,internal_reconstruction_cost,externalization_surplus,record_equivalent_total_burden
7.159663865546219,4.840336134453781,7.477336346303227,79.2,71.72266365369677,5.737616496010168
7.260504201680672,4.739495798319328,7.648544594308312,79.2,71.55145540569168,5.657321149636325
7.3613445378151265,4.6386554621848735,7.821583221523905,79.2,71.3784167784761,5.5772454487677425
7.46218487394958,4.53781512605042,7.996452227950003,79.2,71.20354777205,5.49738939340442
7.563025210084033,4.436974789915967,8.17315161358661,79.2,71.02684838641339,5.41775298354636
7.663865546218488,4.336134453781512,8.351681378433726,79.2,70.84831862156628,5.338336219193559
7.764705882352941,4.235294117647059,8.53204152249135,79.2,70.66795847750865,5.259139100346021
7.865546218487395,4.134453781512605,8.71423204575948,79.2,70.48576795424052,5.180161627003742
7.966386554621849,4.033613445378151,8.898252948238119,79.2,70.30174705176188,5.101403799166725
8.067226890756302,3.9327731092436977,9.084104229927265,79.2,70.11589577007274,5.022865616834969
8.168067226890756,3.8319327731092443,9.271785890826918,79.2,69.92821410917308,4.9445470800084745
8.268907563025211,3.731092436974789,9.461297930937082,79.2,69.73870206906292,4.866448188687238
8.369747899159664,3.6302521008403357,9.652640350257752,79.2,69.54735964974225,4.788568942871266
8.470588235294118,3.5294117647058822,9.845813148788928,79.2,69.35418685121107,4.710909342560553
8.571428571428571,3.428571428571429,10.04081632653061,79.2,69.15918367346939,4.6334693877551025
8.672268907563025,3.3277310924369754,10.237649883482803,79.2,68.9623501165172,4.556249078454911
8.77310924369748,3.22689075630252,10.436313819645507,79.2,68.7636861803545,4.479248414659981
8.873949579831933,3.126050420168067,10.636808135018716,79.2,68.56319186498129,4.402467396370312
8.974789915966387,3.0252100840336134,10.839132829602429,79.2,68.36086717039757,4.325906023585905
9.07563025210084,2.92436974789916,11.043287903396653,79.2,68.15671209660334,4.249564296306758
9.176470588235293,2.8235294117647065,11.249273356401384,79.2,67.95072664359861,4.173442214532873
9.277310924369749,2.7226890756302513,11.457089188616626,79.2,67.74291081138338,4.097539778264246
9.378151260504202,2.621848739495798,11.666735400042372,79.2,67.53326459995763,4.0218569875008825
9.478991596638656,2.5210084033613445,11.878211990678624,79.2,67.32178800932138,3.946393842242779
9.579831932773109,2.420168067226891,12.091518960525386,79.2,67.10848103947461,3.8711503424899374
9.680672268907564,2.319327731092436,12.306656309582658,79.2,66.89334369041734,3.796126488242355
9.781512605042018,2.2184873949579824,12.523624037850437,79.2,66.67637596214956,3.721322279500035
9.882352941176471,2.117647058823529,12.74242214532872,79.2,66.45757785467129,3.646737716262975
9.983193277310924,2.0168067226890756,12.963050632017513,79.2,66.23694936798249,3.572372798531177
10.084033613445378,1.9159663865546221,13.185509497916813,79.2,66.01449050208319,3.49822752630464
10.184873949579833,1.815126050420167,13.409798743026625,79.2,65.79020125697338,3.424301899583362
10.285714285714286,1.7142857142857135,13.63591836734694,79.2,65.56408163265306,3.3505959183673464
10.38655462184874,1.61344537815126,13.863868370877764,79.2,65.33613162912224,3.2771095826565917
10.487394957983193,1.5126050420168067,14.093648753619096,79.2,65.10635124638091,3.203842892451098
10.588235294117647,1.4117647058823533,14.325259515570934,79.2,64.87474048442907,3.130795847750865
10.689075630252102,1.310924369747898,14.558700656733285,79.2,64.64129934326672,3.0579684485558922
10.789915966386555,1.2100840336134446,14.793972177106138,79.2,64.40602782289386,2.985360694866181
10.890756302521009,1.1092436974789912,15.031074076689501,79.2,64.1689259233105,2.9129725866817315
10.991596638655462,1.0084033613445378,15.270006355483371,79.2,63.92999364451663,2.8408041240025423
11.092436974789916,0.9075630252100844,15.510769013487748,79.2,63.68923098651226,2.768855306828614
11.19327731092437,0.8067226890756292,15.753362050702636,79.2,63.44663794929737,2.6971261351599454
11.294117647058824,0.7058823529411757,15.997785467128029,79.2,63.20221453287198,2.6256166089965394
11.394957983193278,0.6050420168067223,16.24403926276393,79.2,62.95596073723607,2.5543267283383937
11.495798319327731,0.5042016806722689,16.49212343761034,79.2,62.707876562389664,2.4832564931855092
11.596638655462185,0.40336134453781547,16.742037991667253,79.2,62.45796200833275,2.412405903537886
11.69747899159664,0.30252100840336027,16.993782924934685,79.2,62.20621707506532,2.341774959395522
11.798319327731093,0.20168067226890685,17.247358237412616,79.2,61.95264176258739,2.271363660758421
11.899159663865547,0.10084033613445342,17.502763929101054,79.2,61.69723607089895,2.20117200762658
12.0,0.0,17.76,79.2,61.44,2.1312
