residual_hysteresis_bits,task_relevance,task_loss,regime
7.636363636363637,0.12,0.9163636363636364,"benign, low task relevance"
7.757575757575758,0.12,0.9309090909090909,"benign, low task relevance"
7.878787878787879,0.12,0.9454545454545454,"benign, low task relevance"
8.0,0.12,0.96,"benign, low task relevance"
8.121212121212121,0.12,0.9745454545454545,"benign, low task relevance"
8.242424242424242,0.12,0.989090909090909,"benign, low task relevance"
8.363636363636363,0.12,1.0036363636363637,"benign, low task relevance"
8.484848484848484,0.12,1.018181818181818,"benign, low task relevance"
8.606060606060606,0.12,1.0327272727272727,"benign, low task relevance"
8.727272727272727,0.12,1.0472727272727271,"benign, low task relevance"
8.84848484848485,0.12,1.061818181818182,"benign, low task relevance"
8.96969696969697,0.12,1.0763636363636364,"benign, low task relevance"
9.090909090909092,0.12,1.090909090909091,"benign, low task relevance"
9.212121212121213,0.12,1.1054545454545455,"benign, low task relevance"
9.333333333333334,0.12,1.12,"benign, low task relevance"
9.454545454545455,0.12,1.1345454545454545,"benign, low task relevance"
9.575757575757576,0.12,1.1490909090909092,"benign, low task relevance"
9.696969696969697,0.12,1.1636363636363636,"benign, low task relevance"
9.818181818181818,0.12,1.1781818181818182,"benign, low task relevance"
9.93939393939394,0.12,1.1927272727272726,"benign, low task relevance"
10.06060606060606,0.12,1.2072727272727273,"benign, low task relevance"
10.181818181818182,0.12,1.2218181818181817,"benign, low task relevance"
10.303030303030303,0.12,1.2363636363636363,"benign, low task relevance"
10.424242424242424,0.12,1.2509090909090907,"benign, low task relevance"
10.545454545454545,0.12,1.2654545454545454,"benign, low task relevance"
10.666666666666668,0.12,1.28,"benign, low task relevance"
10.787878787878789,0.12,1.2945454545454547,"benign, low task relevance"
10.90909090909091,0.12,1.309090909090909,"benign, low task relevance"
11.030303030303031,0.12,1.3236363636363637,"benign, low task relevance"
11.151515151515152,0.12,1.3381818181818181,"benign, low task relevance"
11.272727272727273,0.12,1.3527272727272728,"benign, low task relevance"
11.393939393939394,0.12,1.3672727272727272,"benign, low task relevance"
11.515151515151516,0.12,1.3818181818181818,"benign, low task relevance"
11.636363636363637,0.12,1.3963636363636363,"benign, low task relevance"
11.757575757575758,0.12,1.410909090909091,"benign, low task relevance"
11.878787878787879,0.12,1.4254545454545453,"benign, low task relevance"
12.0,0.12,1.44,"benign, low task relevance"
0.0,0.45,0.0,mixed relevance
0.12121212121212122,0.45,0.05454545454545455,mixed relevance
0.24242424242424243,0.45,0.1090909090909091,mixed relevance
0.36363636363636365,0.45,0.16363636363636364,mixed relevance
0.48484848484848486,0.45,0.2181818181818182,mixed relevance
0.6060606060606061,0.45,0.27272727272727276,mixed relevance
0.7272727272727273,0.45,0.32727272727272727,mixed relevance
0.8484848484848485,0.45,0.38181818181818183,mixed relevance
0.9696969696969697,0.45,0.4363636363636364,mixed relevance
1.0909090909090908,0.45,0.4909090909090909,mixed relevance
1.2121212121212122,0.45,0.5454545454545455,mixed relevance
1.3333333333333335,0.45,0.6000000000000001,mixed relevance
1.4545454545454546,0.45,0.6545454545454545,mixed relevance
1.5757575757575757,0.45,0.7090909090909091,mixed relevance
1.696969696969697,0.45,0.7636363636363637,mixed relevance
1.8181818181818183,0.45,0.8181818181818182,mixed relevance
1.9393939393939394,0.45,0.8727272727272728,mixed relevance
2.0606060606060606,0.45,0.9272727272727272,mixed relevance
2.1818181818181817,0.45,0.9818181818181818,mixed relevance
2.303030303030303,0.45,1.0363636363636364,mixed relevance
2.4242424242424243,0.45,1.090909090909091,mixed relevance
2.5454545454545454,0.45,1.1454545454545455,mixed relevance
2.666666666666667,0.45,1.2000000000000002,mixed relevance
2.787878787878788,0.45,1.2545454545454546,mixed relevance
2.909090909090909,0.45,1.309090909090909,mixed relevance
3.0303030303030303,0.45,1.3636363636363638,mixed relevance
3.1515151515151514,0.45,1.4181818181818182,mixed relevance
3.272727272727273,0.45,1.4727272727272729,mixed relevance
3.393939393939394,0.45,1.5272727272727273,mixed relevance
3.515151515151515,0.45,1.5818181818181818,mixed relevance
3.6363636363636367,0.45,1.6363636363636365,mixed relevance
3.757575757575758,0.45,1.6909090909090911,mixed relevance
3.878787878787879,0.45,1.7454545454545456,mixed relevance
4.0,0.45,1.8,mixed relevance
4.121212121212121,0.45,1.8545454545454545,mixed relevance
4.242424242424242,0.45,1.909090909090909,mixed relevance
4.363636363636363,0.45,1.9636363636363636,mixed relevance
4.484848484848485,0.45,2.0181818181818185,mixed relevance
4.606060606060606,0.45,2.0727272727272728,mixed relevance
4.7272727272727275,0.45,2.1272727272727274,mixed relevance
4.848484848484849,0.45,2.181818181818182,mixed relevance
4.96969696969697,0.45,2.2363636363636363,mixed relevance
5.090909090909091,0.45,2.290909090909091,mixed relevance
5.212121212121212,0.45,2.3454545454545452,mixed relevance
5.333333333333334,0.45,2.4000000000000004,mixed relevance
5.454545454545455,0.45,2.454545454545455,mixed relevance
5.575757575757576,0.45,2.5090909090909093,mixed relevance
5.696969696969697,0.45,2.563636363636364,mixed relevance
5.818181818181818,0.45,2.618181818181818,mixed relevance
5.9393939393939394,0.45,2.672727272727273,mixed relevance
6.0606060606060606,0.45,2.7272727272727275,mixed relevance
6.181818181818182,0.45,2.7818181818181817,mixed relevance
6.303030303030303,0.45,2.8363636363636364,mixed relevance
6.424242424242425,0.45,2.890909090909091,mixed relevance
6.545454545454546,0.45,2.9454545454545458,mixed relevance
6.666666666666667,0.45,3.0,mixed relevance
6.787878787878788,0.45,3.0545454545454547,mixed relevance
6.909090909090909,0.45,3.1090909090909093,mixed relevance
7.03030303030303,0.45,3.1636363636363636,mixed relevance
7.151515151515151,0.45,3.2181818181818183,mixed relevance
7.272727272727273,0.45,3.272727272727273,mixed relevance
7.3939393939393945,0.45,3.3272727272727276,mixed relevance
7.515151515151516,0.45,3.3818181818181823,mixed relevance
7.636363636363637,0.45,3.4363636363636365,mixed relevance
7.757575757575758,0.45,3.490909090909091,mixed relevance
7.878787878787879,0.45,3.5454545454545454,mixed relevance
8.0,0.45,3.6,mixed relevance
8.121212121212121,0.45,3.6545454545454548,mixed relevance
8.242424242424242,0.45,3.709090909090909,mixed relevance
8.363636363636363,0.45,3.7636363636363637,mixed relevance
8.484848484848484,0.45,3.818181818181818,mixed relevance
8.606060606060606,0.45,3.8727272727272726,mixed relevance
8.727272727272727,0.45,3.9272727272727272,mixed relevance
8.84848484848485,0.45,3.9818181818181824,mixed relevance
8.96969696969697,0.45,4.036363636363637,mixed relevance
9.090909090909092,0.45,4.090909090909092,mixed relevance
9.212121212121213,0.45,4.1454545454545455,mixed relevance
9.333333333333334,0.45,4.2,mixed relevance
9.454545454545455,0.45,4.254545454545455,mixed relevance
9.575757575757576,0.45,4.3090909090909095,mixed relevance
9.696969696969697,0.45,4.363636363636364,mixed relevance
9.818181818181818,0.45,4.418181818181818,mixed relevance
9.93939393939394,0.45,4.472727272727273,mixed relevance
10.06060606060606,0.45,4.527272727272727,mixed relevance
10.181818181818182,0.45,4.581818181818182,mixed relevance
10.303030303030303,0.45,4.636363636363637,mixed relevance
10.424242424242424,0.45,4.6909090909090905,mixed relevance
10.545454545454545,0.45,4.745454545454545,mixed relevance
10.666666666666668,0.45,4.800000000000001,mixed relevance
10.787878787878789,0.45,4.854545454545455,mixed relevance
10.90909090909091,0.45,4.90909090909091,mixed relevance
11.030303030303031,0.45,4.963636363636364,mixed relevance
11.151515151515152,0.45,5.0181818181818185,mixed relevance
11.272727272727273,0.45,5.072727272727273,mixed relevance
11.393939393939394,0.45,5.127272727272728,mixed relevance
11.515151515151516,0.45,5.1818181818181825,mixed relevance
11.636363636363637,0.45,5.236363636363636,mixed relevance
11.757575757575758,0.45,5.290909090909091,mixed relevance
11.878787878787879,0.45,5.345454545454546,mixed relevance
12.0,0.45,5.4,mixed relevance
0.0,0.85,0.0,"malignant, high task relevance"
0.12121212121212122,0.85,0.10303030303030303,"malignant, high task relevance"
0.24242424242424243,0.85,0.20606060606060606,"malignant, high task relevance"
0.36363636363636365,0.85,0.3090909090909091,"malignant, high task relevance"
0.48484848484848486,0.85,0.4121212121212121,"malignant, high task relevance"
0.6060606060606061,0.85,0.5151515151515151,"malignant, high task relevance"
0.7272727272727273,0.85,0.6181818181818182,"malignant, high task relevance"
0.8484848484848485,0.85,0.7212121212121212,"malignant, high task relevance"
0.9696969696969697,0.85,0.8242424242424242,"malignant, high task relevance"
1.0909090909090908,0.85,0.9272727272727271,"malignant, high task relevance"
1.2121212121212122,0.85,1.0303030303030303,"malignant, high task relevance"
1.3333333333333335,0.85,1.1333333333333335,"malignant, high task relevance"
1.4545454545454546,0.85,1.2363636363636363,"malignant, high task relevance"
1.5757575757575757,0.85,1.3393939393939394,"malignant, high task relevance"
1.696969696969697,0.85,1.4424242424242424,"malignant, high task relevance"
1.8181818181818183,0.85,1.5454545454545456,"malignant, high task relevance"
1.9393939393939394,0.85,1.6484848484848484,"malignant, high task relevance"
2.0606060606060606,0.85,1.7515151515151515,"malignant, high task relevance"
2.1818181818181817,0.85,1.8545454545454543,"malignant, high task relevance"
2.303030303030303,0.85,1.9575757575757577,"malignant, high task relevance"
2.4242424242424243,0.85,2.0606060606060606,"malignant, high task relevance"
2.5454545454545454,0.85,2.1636363636363636,"malignant, high task relevance"
2.666666666666667,0.85,2.266666666666667,"malignant, high task relevance"
2.787878787878788,0.85,2.3696969696969696,"malignant, high task relevance"
2.909090909090909,0.85,2.4727272727272727,"malignant, high task relevance"
3.0303030303030303,0.85,2.5757575757575757,"malignant, high task relevance"
3.1515151515151514,0.85,2.6787878787878787,"malignant, high task relevance"
3.272727272727273,0.85,2.7818181818181817,"malignant, high task relevance"
3.393939393939394,0.85,2.8848484848484848,"malignant, high task relevance"
3.515151515151515,0.85,2.987878787878788,"malignant, high task relevance"
3.6363636363636367,0.85,3.0909090909090913,"malignant, high task relevance"
3.757575757575758,0.85,3.193939393939394,"malignant, high task relevance"
3.878787878787879,0.85,3.296969696969697,"malignant, high task relevance"
4.0,0.85,3.4,"malignant, high task relevance"
4.121212121212121,0.85,3.503030303030303,"malignant, high task relevance"
4.242424242424242,0.85,3.606060606060606,"malignant, high task relevance"
4.363636363636363,0.85,3.7090909090909085,"malignant, high task relevance"
4.484848484848485,0.85,3.8121212121212125,"malignant, high task relevance"
4.606060606060606,0.85,3.9151515151515155,"malignant, high task relevance"
4.7272727272727275,0.85,4.0181818181818185,"malignant, high task relevance"
4.848484848484849,0.85,4.121212121212121,"malignant, high task relevance"
4.96969696969697,0.85,4.224242424242425,"malignant, high task relevance"
5.090909090909091,0.85,4.327272727272727,"malignant, high task relevance"
5.212121212121212,0.85,4.43030303030303,"malignant, high task relevance"
5.333333333333334,0.85,4.533333333333334,"malignant, high task relevance"
5.454545454545455,0.85,4.636363636363637,"malignant, high task relevance"
5.575757575757576,0.85,4.739393939393939,"malignant, high task relevance"
5.696969696969697,0.85,4.842424242424243,"malignant, high task relevance"
5.818181818181818,0.85,4.945454545454545,"malignant, high task relevance"
5.9393939393939394,0.85,5.048484848484849,"malignant, high task relevance"
6.0606060606060606,0.85,5.151515151515151,"malignant, high task relevance"
6.181818181818182,0.85,5.254545454545454,"malignant, high task relevance"
6.303030303030303,0.85,5.357575757575757,"malignant, high task relevance"
6.424242424242425,0.85,5.460606060606061,"malignant, high task relevance"
6.545454545454546,0.85,5.5636363636363635,"malignant, high task relevance"
6.666666666666667,0.85,5.666666666666667,"malignant, high task relevance"
6.787878787878788,0.85,5.7696969696969695,"malignant, high task relevance"
6.909090909090909,0.85,5.872727272727273,"malignant, high task relevance"
7.03030303030303,0.85,5.975757575757576,"malignant, high task relevance"
7.151515151515151,0.85,6.078787878787878,"malignant, high task relevance"
7.272727272727273,0.85,6.1818181818181825,"malignant, high task relevance"
7.3939393939393945,0.85,6.284848484848485,"malignant, high task relevance"
7.515151515151516,0.85,6.387878787878788,"malignant, high task relevance"
7.636363636363637,0.85,6.490909090909091,"malignant, high task relevance"
7.757575757575758,0.85,6.593939393939394,"malignant, high task relevance"
7.878787878787879,0.85,6.696969696969697,"malignant, high task relevance"
8.0,0.85,6.8,"malignant, high task relevance"
8.121212121212121,0.85,6.903030303030302,"malignant, high task relevance"
8.242424242424242,0.85,7.006060606060606,"malignant, high task relevance"
8.363636363636363,0.85,7.1090909090909085,"malignant, high task relevance"
8.484848484848484,0.85,7.212121212121212,"malignant, high task relevance"
8.606060606060606,0.85,7.3151515151515145,"malignant, high task relevance"
8.727272727272727,0.85,7.418181818181817,"malignant, high task relevance"
8.84848484848485,0.85,7.5212121212121215,"malignant, high task relevance"
8.96969696969697,0.85,7.624242424242425,"malignant, high task relevance"
9.090909090909092,0.85,7.7272727272727275,"malignant, high task relevance"
9.212121212121213,0.85,7.830303030303031,"malignant, high task relevance"
9.333333333333334,0.85,7.933333333333334,"malignant, high task relevance"
9.454545454545455,0.85,8.036363636363637,"malignant, high task relevance"
9.575757575757576,0.85,8.139393939393939,"malignant, high task relevance"
9.696969696969697,0.85,8.242424242424242,"malignant, high task relevance"
9.818181818181818,0.85,8.345454545454546,"malignant, high task relevance"
9.93939393939394,0.85,8.44848484848485,"malignant, high task relevance"
10.06060606060606,0.85,8.55151515151515,"malignant, high task relevance"
10.181818181818182,0.85,8.654545454545454,"malignant, high task relevance"
10.303030303030303,0.85,8.757575757575758,"malignant, high task relevance"
10.424242424242424,0.85,8.86060606060606,"malignant, high task relevance"
