x,theta_stable,theta_drift,dimensionless_ratio,extra_bits_drift,extra_bits_stable
3.1284916201117317,2.0,2.5286074487798835,1.0,1.114693675062977,0.0
3.184357541899441,2.0,2.529146659034733,1.0,1.1157646767123324,0.0
3.2402234636871508,2.0,2.526465445481173,1.0,1.1201957511076244,0.0
3.2960893854748603,2.0,2.520284510244149,1.0,1.1282442330521092,0.0
3.3519553072625694,2.0,2.510368481592203,1.0,1.1401214275749616,0.0
3.407821229050279,2.0,2.496530121198444,1.0,1.1559887575512633,0.0
3.4636871508379885,2.0,2.4786338216395998,1.0,1.175954648138391,0.0
3.519553072625698,2.0,2.456598340024189,1.0,1.2000721963906889,0.0
3.5754189944134076,2.0,2.430398725135004,1.0,1.2283376625973388,0.0
3.631284916201117,2.0,2.400067407610889,1.0,1.2606898075172286,0.0
3.6871508379888267,2.0,2.3656944352952243,1.0,1.2970100869460108,0.0
3.7430167597765363,2.0,2.3274268487533245,1.0,1.3371237021365376,0.0
3.798882681564246,2.0,2.2854672049141707,1.0,1.3808014916992428,0.0
3.854748603351955,2.0,2.240071269627914,1.0,1.4277626379283526,0.0
3.9106145251396645,2.0,2.191544912455951,1.0,1.477678148224276,0.0
3.966480446927374,2.0,2.1402402490360672,1.0,1.530175060597374,0.0
4.022346368715084,2.0,2.086551087709755,1.0,1.5848413113197704,0.0
4.078212290502793,2.0,2.0309077475912747,1.0,1.6412311928046779,0.0
4.134078212290502,2.0,1.97377132473994,1.0,1.6988713208875446,0.0
4.189944134078212,2.0,1.9156274914255413,1.0,1.7572670229944944,0.0
4.245810055865921,2.0,1.85697992052604,1.0,1.815909052327109,0.0
4.301675977653631,2.0,1.798343432760312,1.0,1.8742805282644133,0.0
4.35754189944134,2.0,1.7402369686514314,1.0,1.9318639997574143,0.0
4.41340782122905,2.0,1.68317648977431,1.0,1.9881485266203682,0.0
4.4692737430167595,2.0,1.6276679149255235,1.0,2.042636673334398,0.0
4.525139664804469,2.0,1.5742001963462506,1.0,2.0948513112775307,0.0
4.581005586592179,2.0,1.523238639039258,1.0,2.1443421281611217,0.0
4.636871508379888,2.0,1.475218562579069,1.0,2.190691747842816,0.0
4.692737430167598,2.0,1.43053939967587,1.0,2.23352136953445,0.0
4.748603351955307,2.0,1.3895593191958011,1.0,2.2724958426414834,0.0
4.804469273743017,2.0,1.3525904534618027,1.0,2.3073281019498166,0.0
4.860335195530726,2.0,1.3198948005791347,1.0,2.3377828974883457,0.0
4.916201117318435,2.0,1.2916808623847449,1.0,2.363679763996402,0.0
4.972067039106145,2.0,1.2681010675630222,1.0,2.384895186354434,0.0
5.027932960893854,2.0,1.2492500176686812,1.0,2.4013639294216196,0.0
5.083798882681564,2.0,1.2351635814286512,1.0,2.4130795132832628,0.0
5.139664804469273,2.0,1.225818849945395,1.0,2.4200938277544783,0.0
5.195530726256983,2.0,1.2211349524862203,1.0,2.422515892921128,0.0
5.251396648044692,2.0,1.2209747196120957,1.0,2.424522000513065,0.0
5.307262569832402,2.0,1.2251471676700951,1.0,2.430740023875968,0.0
5.363128491620111,2.0,1.2334107663379008,1.0,2.44090515961728,0.0
5.4189944134078205,2.0,1.2454774391527197,1.0,2.4547083944272376,0.0
5.4748603351955305,2.0,1.261017235957816,1.0,2.4718014779125737,0.0
5.53072625698324,2.0,1.2796636061233913,1.0,2.4918024561320307,0.0
5.58659217877095,2.0,1.3010191923967298,1.0,2.514301681792814,0.0
5.642458100558659,2.0,1.3246620574449577,1.0,2.538868209939437,0.0
5.698324022346369,2.0,1.350152248689976,1.0,2.5650564822151516,0.0
5.754189944134078,2.0,1.3770386019963876,1.0,2.592413198487944,0.0
5.810055865921788,2.0,1.4048656812355609,1.0,2.6204842718724803,0.0
5.865921787709497,2.0,1.4331807487654604,1.0,2.6488217619879357,0.0
5.921787709497206,2.0,1.4615406614664714,1.0,2.6769906816871507,0.0
5.977653631284916,2.0,1.4895185881638904,1.0,2.7045755744689544,0.0
6.033519553072625,2.0,1.5167104470300783,1.0,2.731186763312806,0.0
6.089385474860335,2.0,1.542740965851594,1.0,2.7564661766997993,0.0
6.145251396648044,2.0,1.5672692738040648,1.0,2.7800926640305783,0.0
6.201117318435754,2.0,1.5899939405131518,1.0,2.801786720421478,0.0
6.256983240223463,2.0,1.6106573865858644,1.0,2.8213145498378136,0.0
6.312849162011172,2.0,1.6290495993458236,1.0,2.8384914055721575,0.0
6.368715083798882,2.0,1.6450110980545518,1.0,2.853184158043901,0.0
6.4245810055865915,2.0,1.6584351042893104,1.0,2.865313051618822,0.0
6.4804469273743015,2.0,1.6692688852043946,1.0,2.8748526244467376,0.0
6.536312849162011,2.0,1.6775142499451412,1.0,2.881831778005971,0.0
6.592178770949721,2.0,1.683227192322861,1.0,2.8863329959337207,0.0
6.64804469273743,2.0,1.686516685800641,1.0,2.888490724616839,0.0
6.703910614525139,2.0,1.6875426496890977,1.0,2.8884925085102835,0.0
6.759776536312849,2.0,1.6865131180137518,1.0,2.8904235060537977,0.0
6.815642458100558,2.0,1.6836806546020693,1.0,2.89401103037771,0.0
6.871508379888268,2.0,1.6793380693659274,1.0,2.8989446070028464,0.0
6.927374301675977,2.0,1.6738135013517963,1.0,2.904881169817653,0.0
6.983240223463687,2.0,1.6674649437363145,1.0,2.911450773286482,0.0
7.039106145251396,2.0,1.6606742944141382,1.0,2.9182627336395823,0.0
7.094972067039106,2.0,1.653841023030114,1.0,2.9249121052765696,0.0
7.150837988826815,2.0,1.647375551140163,1.0,2.930986393513301,0.0
7.206703910614524,2.0,1.6416924465566511,1.0,2.9360724011941404,0.0
7.262569832402234,2.0,1.6372035357784842,1.0,2.939763104632136,0.0
7.318435754189943,2.0,1.6343110396806597,1.0,2.9416644538597603,0.0
7.374301675977653,2.0,1.6334008373232358,1.0,2.941926914439596,0.0
7.4301675977653625,2.0,1.6348359608403313,1.0,2.9447017062352026,0.0
7.4860335195530725,2.0,1.6389504209144488,1.0,2.9503054545060974,0.0
7.541899441340782,2.0,1.6460434573821208,1.0,2.959017395613107,0.0
7.597765363128492,2.0,1.656374303128468,1.0,2.9710744377755374,0.0
7.653631284916201,2.0,1.6701575417069814,1.0,2.9866668513028993,0.0
7.70949720670391,2.0,1.687559130183192,1.0,3.005934654790228,0.0
7.76536312849162,2.0,1.7086931486816392,1.0,3.028964753281544,0.0
7.821229050279329,2.0,1.7336193271658236,1.0,3.0557888730736424,0.0
7.877094972067039,2.0,1.7623413882658363,1.0,3.0863823258230876,0.0
7.932960893854748,2.0,1.7948062326647136,1.0,3.120663622114189,0.0
7.988826815642458,2.0,1.8309039808480394,1.0,3.1584949418335264,0.0
8.044692737430168,2.0,1.8704688721033882,1.0,3.1996834557705016,0.0
8.100558659217876,2.0,1.9132810087219896,1.0,3.24398348001851,0.0
8.156424581005586,2.0,1.959068920599405,1.0,3.291099432181349,0.0
8.212290502793296,2.0,2.007512913047668,1.0,3.3406895462841537,0.0
8.268156424581004,2.0,2.0582491488050145,1.0,3.3923702918300527,0.0
8.324022346368714,2.0,2.110874404139466,1.0,3.445721431805775,0.0
8.379888268156424,2.0,2.1649514287564586,1.0,3.5002916447821537,0.0
8.435754189944134,2.0,2.2200148300922233,1.0,3.555604627724578,0.0
8.491620111731843,2.0,2.2755773946413074,1.0,3.611165588852665,0.0
8.547486033519553,2.0,2.3311367523483972,1.0,3.666468033977613,0.0
8.603351955307263,2.0,2.386182284891203,1.0,3.7210007452890626,0.0
8.65921787709497,2.0,2.4402021749712963,1.0,3.774254848628126,0.0
8.71508379888268,2.0,2.4926904915693293,1.0,3.8257308639138703,0.0
8.77094972067039,2.0,2.543154205542785,1.0,3.8749456336077532,0.0
