leakage_strength,I_over_H,mismatch_entropy_over_H,schematic_error_proxy,epsilon
0.14666666666666667,0.45989947535562936,0.5401005246443706,0.5401005246443706,0.08
0.15000000000000002,0.4674081989931028,0.5325918010068972,0.5325918010068972,0.08
0.15333333333333335,0.474812532932564,0.525187467067436,0.525187467067436,0.08
0.15666666666666668,0.4821139284471686,0.5178860715528314,0.5178860715528314,0.08
0.16,0.4893138166338121,0.5106861833661879,0.5106861833661879,0.08
0.16333333333333333,0.4964136086936286,0.5035863913063714,0.5035863913063714,0.08
0.16666666666666669,0.5034146962085906,0.49658530379140947,0.49658530379140947,0.08
0.17,0.5103184514142638,0.48968154858573615,0.48968154858573615,0.08
0.17333333333333334,0.5171262274687702,0.4828737725312297,0.4828737725312297,0.08
0.17666666666666667,0.5238393587180106,0.4761606412819894,0.4761606412819894,0.08
0.18000000000000002,0.5304591609572008,0.4695408390427992,0.4695408390427992,0.08
0.18333333333333335,0.536986931688772,0.463013068311228,0.463013068311228,0.08
0.18666666666666668,0.5434239503766853,0.4565760496233147,0.4565760496233147,0.08
0.19,0.5497714786972108,0.45022852130278923,0.45022852130278923,0.08
0.19333333333333336,0.55603076078622,0.44396923921378,0.44396923921378,0.08
0.19666666666666668,0.5622030234830404,0.4377969765169596,0.4377969765169596,0.08
0.2,0.5682894765709203,0.4317105234290797,0.4317105234290797,0.08
0.20333333333333334,0.5742913130141498,0.4257086869858501,0.4257086869858501,0.08
0.2066666666666667,0.5802097091918859,0.4197902908081142,0.4197902908081142,0.08
0.21000000000000002,0.5860458251287259,0.41395417487127406,0.41395417487127406,0.08
0.21333333333333335,0.5918008047220773,0.40819919527792264,0.40819919527792264,0.08
0.21666666666666667,0.597475775966364,0.40252422403363597,0.40252422403363597,0.08
0.22,0.6030718511741175,0.39692814882588245,0.39692814882588245,0.08
0.22333333333333336,0.6085901271939935,0.3914098728060064,0.3914098728060064,0.08
0.22666666666666668,0.6140316856257579,0.3859683143742421,0.3859683143742421,0.08
0.23,0.6193975930322836,0.3806024069677164,0.3806024069677164,0.08
0.23333333333333334,0.6246889011486005,0.3753110988513995,0.3753110988513995,0.08
0.2366666666666667,0.6299066470880388,0.37009335291196127,0.37009335291196127,0.08
0.24000000000000002,0.6350518535455063,0.36494814645449364,0.36494814645449364,0.08
0.24333333333333335,0.6401255289979404,0.35987447100205955,0.35987447100205955,0.08
0.24666666666666667,0.6451286679019725,0.3548713320980274,0.3548713320980274,0.08
0.25,0.6500622508888447,0.3499377491111553,0.3499377491111553,0.08
0.25333333333333335,0.6549272449566163,0.34507275504338375,0.34507275504338375,0.08
0.2566666666666667,0.6597246036596993,0.34027539634030074,0.34027539634030074,0.08
0.26,0.6644552672957573,0.3355447327042427,0.3355447327042427,0.08
0.26333333333333336,0.6691201630900079,0.33087983690999206,0.33087983690999206,0.08
0.26666666666666666,0.6737202053769605,0.32627979462303947,0.32627979462303947,0.08
0.27,0.6782562957796299,0.32174370422037013,0.32174370422037013,0.08
0.2733333333333334,0.6827293233862564,0.3172706766137436,0.3172706766137436,0.08
0.27666666666666667,0.6871401649245709,0.31285983507542914,0.31285983507542914,0.08
0.28,0.6914896849336354,0.30851031506636467,0.30851031506636467,0.08
0.2833333333333333,0.6957787359332959,0.3042212640667041,0.3042212640667041,0.08
0.2866666666666667,0.7000081585912796,0.2999918414087204,0.2999918414087204,0.08
0.29000000000000004,0.7041787818879668,0.29582121811203316,0.29582121811203316,0.08
0.29333333333333333,0.7082914232788756,0.2917085767211244,0.2917085767211244,0.08
0.2966666666666667,0.7123468888548847,0.2876531111451153,0.2876531111451153,0.08
0.30000000000000004,0.7163459735002298,0.2836540264997703,0.2836540264997703,0.08
0.30333333333333334,0.7202894610483037,0.27971053895169634,0.27971053895169634,0.08
0.3066666666666667,0.7241781244352907,0.2758218755647093,0.2758218755647093,0.08
0.31,0.7280127258516635,0.2719872741483365,0.2719872741483365,0.08
0.31333333333333335,0.7317940168915755,0.2682059831084244,0.2682059831084244,0.08
0.3166666666666667,0.7355227387001761,0.2644772612998239,0.2644772612998239,0.08
0.32,0.7391996221188764,0.26080037788112365,0.26080037788112365,0.08
0.32333333333333336,0.7428253878285975,0.2571746121714024,0.2571746121714024,0.08
0.32666666666666666,0.7464007464910262,0.25359925350897383,0.25359925350897383,0.08
0.33,0.7499263988879059,0.2500736011120941,0.2500736011120941,0.08
0.33333333333333337,0.7534030360583935,0.24659696394160643,0.24659696394160643,0.08
0.33666666666666667,0.7568313394345043,0.24316866056549563,0.24316866056549563,0.08
0.34,0.7602119809746753,0.23978801902532465,0.23978801902532465,0.08
0.3433333333333334,0.7635456232954709,0.23645437670452904,0.23645437670452904,0.08
0.3466666666666667,0.7668329198014583,0.23316708019854177,0.23316708019854177,0.08
0.35000000000000003,0.7700745148132762,0.2299254851867238,0.2299254851867238,0.08
0.35333333333333333,0.7732710436939245,0.22672895630607542,0.22672895630607542,0.08
0.3566666666666667,0.7764231329732973,0.22357686702670262,0.22357686702670262,0.08
0.36000000000000004,0.7795314004709841,0.22046859952901587,0.22046859952901587,0.08
0.36333333333333334,0.782596455417365,0.21740354458263497,0.21740354458263497,0.08
0.3666666666666667,0.7856188985730221,0.2143811014269779,0.2143811014269779,0.08
0.37000000000000005,0.7885993223464896,0.21140067765351042,0.21140067765351042,0.08
0.37333333333333335,0.7915383109103684,0.20846168908963153,0.20846168908963153,0.08
0.3766666666666667,0.7944364403158262,0.20556355968417384,0.20556355968417384,0.08
0.38,0.797294278605504,0.2027057213944961,0.2027057213944961,0.08
