time,environmental_distinguishability,friend_record_stability,wigner_boundary_access,friend_record_condition,wigner_record_condition,threshold
2.1303258145363406,0.9436368582748539,0.9921370097203366,0.0002031926334781162,0.9436368582748539,0.0002031926334781162,0.72
2.155388471177945,0.9455119809862514,0.9930911554628472,0.00021687121287354176,0.9455119809862514,0.00021687121287354176,0.72
2.180451127819549,0.947324720993719,0.9939302273738687,0.00023147039757509313,0.947324720993719,0.00023147039757509313,0.72
2.2055137844611528,0.949077153682364,0.9946679420230624,0.0002470521171366503,0.949077153682364,0.0002470521171366503,0.72
2.2305764411027567,0.9507712853921406,0.9953164180040878,0.0002636824630139471,0.9507712853921406,0.0002636824630139471,0.72
2.2556390977443606,0.9524090557148854,0.995886353588247,0.00028143196768566685,0.9524090557148854,0.00028143196768566685,0.72
2.280701754385965,0.9539923397149336,0.99638718661151,0.0003003759024140203,0.9539923397149336,0.0003003759024140203,0.72
2.305764411027569,0.9555229500758585,0.9968272378929458,0.0003205945948783828,0.9555229500758585,0.0003205945948783828,0.72
2.3308270676691727,0.9570026391757922,0.9972138395142849,0.0003421737679956537,0.9570026391757922,0.0003421737679956537,0.72
2.355889724310777,0.9584331010937029,0.9975534492776549,0.0003652049013260693,0.9584331010937029,0.0003652049013260693,0.72
2.380952380952381,0.9598159735489263,0.9978517526151913,0.00038978561655349795,0.9598159735489263,0.00038978561655349795,0.72
2.406015037593985,0.9611528397761719,0.9981137531606914,0.00041602008862515,0.9611528397761719,0.00041602008862515,0.72
2.4310776942355887,0.9624452303381498,0.9983438531175731,0.00044401948423730323,0.9624452303381498,0.00044401948423730323,0.72
2.4561403508771926,0.9636946248778941,0.9985459244749658,0.00047390242946155476,0.9636946248778941,0.00047390242946155476,0.72
2.481203007518797,0.96490245381279,0.9987233720389624,0.0005057955084204293,0.96490245381279,0.0005057955084204293,0.72
2.506265664160401,0.966070099972241,0.9988791891619336,0.0005398337950423323,0.966070099972241,0.0005398337950423323,0.72
2.5313283208020048,0.9671989001808553,0.9990160069713457,0.0005761614200541373,0.9671989001808553,0.0005761614200541373,0.72
2.556390977443609,0.9682901467889601,0.9991361378221214,0.0006149321755054317,0.9682901467889601,0.0006149321755054317,0.72
2.581453634085213,0.9693450891521991,0.9992416136240149,0.0006563101592620722,0.9693450891521991,0.0006563101592620722,0.72
2.606516290726817,0.9703649350619052,0.9993342196281992,0.0007004704620584383,0.9703649350619052,0.0007004704620584383,0.72
2.631578947368421,0.9713508521278867,0.9994155241954265,0.0007475998998580438,0.9713508521278867,0.0007475998998580438,0.72
2.6566416040100247,0.9723039691152108,0.9994869050116809,0.0007978977944413167,0.9723039691152108,0.0007978977944413167,0.72
2.681704260651629,0.9732253772365126,0.9995495721660219,0.00085157680531764,0.9732253772365126,0.00085157680531764,0.72
2.706766917293233,0.974116131401313,0.9996045884590679,0.0009088638162465715,0.974116131401313,0.0009088638162465715,0.72
2.731829573934837,0.9749772514237722,0.9996528872689553,0.0009700008798508008,0.9749772514237722,0.0009700008798508008,0.72
2.756892230576441,0.9758097231902625,0.9996952882643129,0.0010352462240110208,0.9758097231902625,0.0010352462240110208,0.72
2.781954887218045,0.9766144997880989,0.9997325112204446,0.0011048753239509678,0.9766144997880989,0.0011048753239509678,0.72
2.807017543859649,0.9773925025967174,0.9997651881651871,0.001179182044149323,0.9773925025967174,0.001179182044149323,0.72
2.832080200501253,0.978144622342552,0.9997938740544436,0.0012584798544543366,0.978144622342552,0.0012584798544543366,0.72
2.8571428571428568,0.9788717201188167,0.9998190561538975,0.0013431031250269187,0.9788717201188167,0.0013431031250269187,0.72
2.882205513784461,0.9795746283713618,0.9998411622825638,0.0014334085049984967,0.9795746283713618,0.0014334085049984967,0.72
2.907268170426065,0.9802541518517306,0.9998605680553735,0.001529776390001145,0.9802541518517306,0.001529776390001145,0.72
2.932330827067669,0.9809110685385112,0.9998776032456514,0.0016326124840091284,0.9809110685385112,0.0016326124840091284,0.72
2.9573934837092732,0.9815461305280343,0.9998925573739128,0.001742349461222544,0.9815461305280343,0.001742349461222544,0.72
2.982456140350877,0.9821600648954404,0.999905684616655,0.001859448734024996,0.9821600648954404,0.001859448734024996,0.72
3.007518796992481,0.9827535745270991,0.9999172081175706,0.0019844023333571562,0.9827535745270991,0.0019844023333571562,0.72
3.032581453634085,0.9833273389253359,0.9999273237736896,0.00211773490816589,0.9833273389253359,0.00211773490816589,0.72
3.057644110275689,0.9838820149863864,0.9999362035602147,0.002260005850913227,0.9838820149863864,0.002260005850913227,0.72
3.082706766917293,0.9844182377524694,0.9999439984501146,0.0024118115564590865,0.9844182377524694,0.0024118115564590865,0.72
3.107769423558897,0.9849366211388396,0.9999508409777565,0.0025737878219647863,0.9849366211388396,0.0025737878219647863,0.72
3.132832080200501,0.9854377586366513,0.9999568474898937,0.0027466123957985374,0.9854377586366513,0.0027466123957985374,0.72
3.1578947368421053,0.9859222239924404,0.9999621201220692,0.0029310076837565416,0.9859222239924404,0.0029310076837565416,0.72
3.182957393483709,0.9863905718649999,0.9999667485338845,0.003127743621241118,0.9863905718649999,0.003127743621241118,0.72
3.208020050125313,0.9868433384604022,0.9999708114325092,0.0033376407203561127,0.9868433384604022,0.0033376407203561127,0.72
3.233082706766917,0.9872810421458954,0.999974377910248,0.0035615733011854908,0.9872810421458954,0.0035615733011854908,0.72
3.258145363408521,0.9877041840433758,0.9999775086188323,0.0038004729168081485,0.9877041840433758,0.0038004729168081485,0.72
3.2832080200501252,0.9881132486031171,0.9999802568003545,0.0040553319818639934,0.9881132486031171,0.0040553319818639934,0.72
3.308270676691729,0.9885087041584111,0.9999826691923254,0.004327207614716474,0.9885087041584111,0.004327207614716474,0.72
3.333333333333333,0.9888910034617577,0.9999847868222221,0.004617225703446322,0.9888910034617577,0.004617225703446322,0.72
3.3583959899749374,0.9892605842032159,0.9999866457050033,0.004926585206050334,0.9892605842032159,0.004926585206050334,0.72
3.3834586466165413,0.98961786951151,0.9999882774554432,0.005256562695297231,0.98961786951151,0.005256562695297231,0.72
3.408521303258145,0.9899632684384646,0.9999897098256761,0.005608517158696211,0.9899632684384646,0.005608517158696211,0.72
3.433583959899749,0.990297176427324,0.999990967177086,0.0059838950639488474,0.990297176427324,0.0059838950639488474,0.72
3.458646616541353,0.9906199757654894,0.9999920708945553,0.006384235700064854,0.9906199757654894,0.006384235700064854,0.72
3.4837092731829573,0.9909320360221969,0.9999930397501122,0.006811176804007496,0.9909320360221969,0.006811176804007496,0.72
3.508771929824561,0.9912337144716318,0.9999938902221562,0.007266460482274512,0.9912337144716318,0.007266460482274512,0.72
3.533834586466165,0.9915253565019677,0.9999946367756873,0.007751939436190907,0.9915253565019677,0.007751939436190907,0.72
3.5588972431077694,0.9918072960107988,0.9999952921082992,0.008269583498863397,0.9918072960107988,0.008269583498863397,0.72
3.5839598997493733,0.9920798557874134,0.9999958673661218,0.008821486490693494,0.9920798557874134,0.008821486490693494,0.72
3.6090225563909772,0.9923433478823535,0.9999963723333806,0.009409873399031982,0.9923433478823535,0.009409873399031982,0.72
3.634085213032581,0.9925980739646766,0.9999968155987976,0.010037107885945282,0.9925980739646766,0.010037107885945282,0.72
3.659147869674185,0.9928443256673337,0.9999972047016632,0.010705700126111509,0.9928443256673337,0.010705700126111509,0.72
3.6842105263157894,0.9930823849210563,0.9999975462600584,0.011418314974525279,0.9930823849210563,0.011418314974525279,0.72
3.7092731829573933,0.9933125242771356,0.9999978460834145,0.01217778046091429,0.9933125242771356,0.01217778046091429,0.72
3.734335839598997,0.9935350072194636,0.9999981092713169,0.012987096604502944,0.9935350072194636,0.012987096604502944,0.72
3.7593984962406015,0.9937500884661925,0.9999983403002412,0.013849444538936646,0.9937500884661925,0.013849444538936646,0.72
3.7844611528822054,0.9939580142613588,0.999998543099686,0.014768195932742426,0.9939580142613588,0.014768195932742426,0.72
3.8095238095238093,0.9941590226568048,0.9999987211190093,0.015746922685573924,0.9941590226568048,0.015746922685573924,0.72
3.834586466165413,0.9943533437847218,0.9999988773860934,0.016789406874599466,0.9943533437847218,0.016789406874599466,0.72
