time,threat_load,goal_hysteresis,risk_weight_alpha,ranking_diversity
59,0.7727272727272727,0.6703347280169978,1.672186445318853,0.5738421150186419
60,0.7954545454545455,0.7235213388963178,1.749777793366607,0.5491817956395626
61,0.8181818181818182,0.774580485340465,1.828474455750883,0.5245135232285961
62,0.8409090909090909,0.8235972659268463,1.908040956983,0.4999762064002955
63,0.8636363636363636,0.8706533752897724,1.9882665416270418,0.47569145314499484
64,0.8863636363636364,0.9158272402781814,2.0689629614150893,0.4517624556670128
65,0.9090909090909092,0.959194150667054,2.1499624488044558,0.42827315873475486
66,0.9318181818181819,1.0008263846403718,2.231115861685115,0.4052877545971536
67,0.9545454545454546,1.0407933292547569,2.3122909851839215,0.3828505367957319
68,0.9772727272727273,1.0791615960845666,2.393370977650933,0.360986133717429
69,1.0,1.115995132241184,2.4742529489602236,0.3397001307973688
70,1.0,1.1513553269515366,2.5512102965839167,0.31999826003177145
71,0.95,1.1853011138734753,2.6164551530560938,0.3040099599515368
72,0.9,1.2178890693185362,2.670826753802541,0.29143705057527974
73,0.85,1.2491735065457947,2.715101105969635,0.28198877746821516
74,0.8,1.279206566283963,2.7499958902645094,0.275382475407914
75,0.75,1.3080383036326044,2.7761749769048967,0.27134456851960487
76,0.7,1.3357167714873002,2.794252586299591,0.26961183554704593
77,0.65,1.3622881006278083,2.8047971226408257,0.2699328650170642
78,0.6000000000000001,1.3877965766026958,2.808334706344954,0.27206962295994563
79,0.55,1.332284713538588,2.799592429212136,0.27741185564380416
80,0.5,1.2789933249970444,2.7797125542749526,0.28555951549455433
81,0.45000000000000007,1.2278335919971626,2.7497395685567523,0.2961486093351417
82,0.4,1.178720248317276,2.710628260951056,0.3088509191173459
83,0.3500000000000001,1.131571438384585,2.663251143638662,0.32337361104635476
84,0.30000000000000004,1.0863085808492015,2.6084052699687117,0.33945867152265813
85,0.2500000000000001,1.0428562376152333,2.546818497479512,0.3568821189987542
86,0.20000000000000007,1.0011419881106238,2.4791552408251163,0.3754529524586995
87,0.15,0.9610963085861989,2.4060217557773136,0.39501180949284576
88,0.05,0.9226524562427509,2.319970992164607,0.41766931955327036
89,0.05,0.8857463579930409,2.2381470505669374,0.43866495061997396
90,0.05,0.8503165036733192,2.1603180747860615,0.45811669586304504
91,0.05,0.8163038435263864,2.0862665055370764,0.47615033175644667
92,0.05,0.783651689785331,2.015788106758654,0.49289789321463545
93,0.05,0.7523056221939177,1.9486910630159238,0.5084958519942973
94,0.05,0.722213397306161,1.8847951425806935,0.5230830573643792
95,0.05,0.6933248614139145,1.82393092119604,0.53679850400809
96,0.05,0.6655918669573578,1.7659390619212865,0.5497789963287384
97,0.05,0.6389681922790635,1.7106696468116762,0.5621567806667985
98,0.05,0.613409464587901,1.657981556517071,0.5740572173302587
99,0.05,0.5888730860043849,1.607741894188021,0.5855965627799716
100,0.05,0.5653181625642095,1.5598254503576026,0.5968799288367124
101,0.05,0.5427054360616411,1.5141142057254326,0.6079994804805423
102,0.05,0.5209972186191755,1.4704968690079787,0.6190329268401749
103,0.05,0.5001573298744084,1.4288684472382978,0.6300423515112693
104,0.05,0.48015103667943204,1.389129846100153,0.6410734186302698
105,0.05,0.46094499521225474,1.3511874980674234,0.6521549804317583
106,0.05,0.44250719540376454,1.3149530162911007,0.6632991006270113
107,0.05,0.42480690758761397,1.2803428723341208,0.674501496173556
108,0.05,0.4078146312841094,1.247278095999847,0.6857423881846093
109,0.05,0.391502046032745,1.2156839956342171,0.6969877411795508
110,0.05,0.37584196419143523,1.185489897405263,0.7081908589207799
111,0.05,0.3608082856237778,1.156628902177754,0.7192942950208366
112,0.05,0.34637595419882666,1.1290376587058493,0.7302320276142968
113,0.05,0.3325209160308736,1.1026561519636044,0.7409318399170182
114,0.05,0.31922007938963864,1.0774275055225702,0.7513178426469393
115,0.05,0.3064512762140531,1.0532977969681765,0.7613130702170695
116,0.05,0.29419322516549096,1.0302158854226378,0.7708420804443379
117,0.05,0.2824254961588713,1.0081332503122655,0.7798334873069577
118,0.05,0.27112847631251646,0.9870038405817855,0.7882223580330429
119,0.05,0.2602833372600158,0.9667839336179638,0.7959524094652936
120,0.05,0.24987200376961516,0.9474320031999389,0.8029779441185696
121,0.05,0.23987712361883054,0.9289085958444997,0.8092654734769195
122,0.05,0.23028203867407732,0.9111762149614733,0.8147949846660496
123,0.05,0.22107075712711421,0.8941992122777076,0.8195608164478179
124,0.05,0.21222792684202965,0.8779436860281171,0.8235721212427971
125,0.05,0.20373880976834846,0.8623773854491888,0.8268529012967375
126,0.05,0.1955892573776145,0.847469621144442,0.8294416188502773
127,0.05,0.18776568708250993,0.8331911809228274,0.8313903919227495
128,0.05,0.18025505959920954,0.8195142507401444,0.8327637987544112
129,0.05,0.17304485721524115,0.8064123404004302,0.8336373247497636
