t,memory+external,channel,causal-boundary,thermodynamic,Cacc,active_bottleneck
35.5,5.0,3.924765904964394,5.181814620957134,4.898888181578121,3.924765904964394,channel
35.6,5.0,3.9214101551959466,5.181357831812764,4.8988657298481195,3.9214101551959466,channel
35.7,5.0,3.9180883248966656,5.1808896608775,4.898842824909516,3.9180883248966656,channel
35.800000000000004,5.0,3.9148005566413806,5.180409829232416,4.898819457621021,3.9148005566413806,channel
35.9,5.0,3.9115469766126116,5.179918051361369,4.898795618657252,3.9115469766126116,channel
36.0,5.0,3.9083276948508843,5.179414035007092,4.898771298505042,3.9083276948508843,channel
36.1,5.0,3.9051428055158945,5.17889748102478,4.89874648745967,3.9051428055158945,channel
36.2,5.0,3.9019923871578337,5.178368083233165,4.898721175621016,3.9019923871578337,channel
36.300000000000004,5.0,3.898876502998169,5.1778255282630505,4.8986953528896375,3.898876502998169,channel
36.4,5.0,3.8957952012191988,5.17726949540333,4.898669008962777,3.8957952012191988,channel
36.5,5.0,3.8927485152616974,5.1766996564444625,4.898642133330279,3.8927485152616974,channel
36.6,5.0,3.8897364641299723,5.17611567551943,4.898614715270428,3.8897364641299723,channel
36.7,5.0,3.886759052703672,5.175517208942153,4.898586743845712,3.886759052703672,channel
36.800000000000004,5.0,3.8838162720556824,5.174903905043397,4.89855820789849,3.8838162720556824,channel
36.9,5.0,3.8809080997754766,5.174275404004161,4.89852909604658,3.8809080997754766,channel
37.0,5.0,3.8780345002972765,5.173631337686577,4.898499396678762,3.8780345002972765,channel
37.1,5.0,3.87519542523242,5.172971329462323,4.89846909795018,3.87519542523242,channel
37.2,5.0,3.8723908137053207,5.1722949940385865,4.898438187777668,3.8723908137053207,channel
37.300000000000004,5.0,3.8696205926924376,5.171601937281595,4.898406653834968,3.8696205926924376,channel
37.4,5.0,3.866884677363684,5.170891756037742,4.898374483547869,3.866884677363684,channel
37.5,5.0,3.8641829714257208,5.170164037952354,4.898341664089229,3.8641829714257208,channel
37.6,5.0,3.861515367466594,5.169418361286132,4.898308182373924,3.861515367466594,channel
37.7,5.0,3.858881747301205,5.168654294729313,4.898274025053668,3.858881747301205,channel
37.800000000000004,5.0,3.8562819823171046,5.167871397213605,4.898239178511758,3.8562819823171046,channel
37.9,5.0,3.853715933820137,5.167069217721955,4.898203628857693,3.853715933820137,channel
38.0,5.0,3.851183453379468,5.166247295096211,4.898167361921697,3.851183453379468,channel
38.1,5.0,3.848684383171553,5.165405157842749,4.898130363249137,3.848684383171553,channel
38.2,5.0,3.8462185563226265,5.1645423239361445,4.8980926180948146,3.8462185563226265,channel
38.300000000000004,5.0,3.843785797249302,5.163658300620971,4.898054111417166,3.843785797249302,channel
38.400000000000006,5.0,3.8413859219969075,5.162752584211819,4.898014827872329,3.8413859219969075,channel
38.5,5.0,3.8390187385751813,5.161824659891645,4.897974751808102,3.8390187385751813,channel
38.6,5.0,3.8366840472909933,5.1608740015085415,4.89793386725778,3.8366840472909933,channel
38.7,5.0,3.8343816410777594,5.1599000713710685,4.8978921579338754,3.8343816410777594,channel
38.800000000000004,5.0,3.832111305821244,5.1589023200422535,4.897849607221701,3.832111305821244,channel
38.900000000000006,5.0,3.8298728206814667,5.157880186132422,4.897806198172843,3.8298728206814667,channel
39.0,5.0,3.827665958410439,5.15683309609098,4.89776191349849,3.827665958410439,channel
39.1,5.0,3.825490485665485,5.1557604639973365,4.8977167355626445,3.825490485665485,channel
39.2,5.0,3.8233461633179138,5.154661691351106,4.897670646375188,3.8233461633179138,channel
39.300000000000004,5.0,3.8212327467568254,5.153536166861806,4.8976236275848155,3.8212327467568254,channel
39.400000000000006,5.0,3.819149986187859,5.152383266238214,4.897575660471832,3.819149986187859,channel
39.5,5.0,3.817097626926698,5.151202351977619,4.897526725940805,3.817097626926698,channel
39.6,5.0,3.8150754096871733,5.149992773155168,4.897476804513074,3.8150754096871733,channel
39.7,5.0,3.813083070863811,5.148753865213551,4.897425876319105,3.813083070863811,channel
39.800000000000004,5.0,3.8111203428087017,5.147484949753287,4.897373921090713,3.8111203428087017,channel
39.900000000000006,5.0,3.809186954102563,5.1461853343238495,4.897320918153106,3.809186954102563,channel
40.0,5.0,3.8072826298199063,5.144854312215939,4.897266846416798,3.8072826298199063,channel
40.1,5.0,3.8054070917882026,5.1434911622551835,4.897211684369348,3.8054070917882026,channel
40.2,5.0,3.8035600588409952,5.142095148597594,4.897155410066939,3.8035600588409952,channel
