t,R_target_bits,Cacc_bits,Delta_FDS_bits,Qdot_over_kBT
15.100000000000001,3.9828921423310435,4.556496134152085,0.0,0.0
15.200000000000001,3.9828921423310435,4.555660594524376,0.0,0.0
15.3,3.9828921423310435,4.554809854128759,0.0,0.0
15.4,3.9828921423310435,4.553943669174617,0.0,0.0
15.5,3.9828921423310435,4.553061793229424,0.0,0.0
15.600000000000001,3.9828921423310435,4.552163977241742,0.0,0.0
15.700000000000001,3.9828921423310435,4.5512499695668875,0.0,0.0
15.8,3.9828921423310435,4.550319515995358,0.0,0.0
15.9,3.9828921423310435,4.549372359784149,0.0,0.0
16.0,3.9828921423310435,4.548408241691018,0.0,0.0
16.1,3.9828921423310435,4.5474269000118435,0.0,0.0
16.2,3.9828921423310435,4.546428070621149,0.0,0.0
16.3,3.9828921423310435,4.545411487015913,0.0,0.0
16.400000000000002,3.9828921423310435,4.54437688036277,0.0,0.0
16.5,3.9828921423310435,4.543323979548703,0.0,0.0
16.6,3.9828921423310435,4.542252511235343,0.0,0.0
16.7,3.9828921423310435,4.541162199916984,0.0,0.0
16.8,3.9828921423310435,4.540052767982418,0.0,0.0
16.900000000000002,3.9828921423310435,4.538923935780705,0.0,0.0
17.0,3.9828921423310435,4.537775421690988,0.0,0.0
17.1,3.9828921423310435,4.536606942196464,0.0,0.0
17.2,3.9828921423310435,4.535418211962623,0.0,0.0
17.3,3.9828921423310435,4.534208943919859,0.0,0.0
17.400000000000002,3.9828921423310435,4.532978849350575,0.0,0.0
17.5,3.9828921423310435,4.531727637980881,0.0,0.0
17.6,3.9828921423310435,4.530455018077006,0.0,0.0
17.7,3.9828921423310435,4.529160696546518,0.0,0.0
17.8,3.9828921423310435,4.527844379044469,0.0,0.0
17.900000000000002,3.9828921423310435,4.526505770084564,0.0,0.0
18.0,3.9828921423310435,4.52514457315547,0.0,0.0
18.1,3.9828921423310435,4.523760490842338,0.0,0.0
18.2,3.9828921423310435,4.522353224953675,0.0,0.0
18.3,3.9828921423310435,4.520922476653628,0.0,0.0
18.400000000000002,3.9828921423310435,4.519467946599795,0.0,0.0
18.5,3.9828921423310435,4.517989335086629,0.0,0.0
18.6,3.9828921423310435,4.5164863421945585,0.0,0.0
18.7,3.9828921423310435,4.514958667944857,0.0,0.0
18.8,3.9828921423310435,4.5134060124603765,0.0,0.0
18.900000000000002,3.9828921423310435,4.511828076132201,0.0,0.0
19.0,3.9828921423310435,4.510224559792283,0.0,0.0
19.1,3.9828921423310435,4.508595164892126,0.0,0.0
19.200000000000003,3.9828921423310435,4.506939593687575,0.0,0.0
19.3,3.9828921423310435,4.505257549429741,0.0,0.0
19.400000000000002,3.9828921423310435,4.5035487365621245,0.0,0.0
19.5,3.9828921423310435,4.501812860923948,0.0,0.0
19.6,3.9828921423310435,4.500049629959733,0.0,0.0
19.700000000000003,3.9828921423310435,4.498258752935128,0.0,0.0
19.8,3.9828921423310435,4.496439941159005,0.0,0.0
19.900000000000002,3.9828921423310435,4.494592908211797,0.0,0.0
20.0,3.9828921423310435,4.4927173701800935,0.0,0.0
20.1,3.9828921423310435,4.490813045897436,0.0,0.0
20.200000000000003,3.9828921423310435,4.488879657191298,0.0,0.0
20.3,3.9828921423310435,4.486916929136188,0.0,0.0
20.400000000000002,3.9828921423310435,4.4849245903128265,0.0,0.0
20.5,3.9828921423310435,4.482902373073301,0.0,0.0
20.6,3.9828921423310435,4.480850013812141,0.0,0.0
