t,S_res_observer_1_bits,S_res_observer_2_bits,entropy_gap_bits
48.300000000000004,1.277421734061868,1.277421734061868,0.0
48.400000000000006,1.2778578144375343,1.2778578144375343,0.0
48.5,1.2782856807240974,1.2782856807240974,0.0
48.6,1.2787054796600845,1.2787054796600845,0.0
48.7,1.2791173556689204,1.2791173556689204,0.0
48.800000000000004,1.2795214508834762,1.2795214508834762,0.0
48.900000000000006,1.279917905170871,1.279917905170871,0.0
49.0,1.2803068561574822,1.2803068561574822,0.0
49.1,1.2806884392541567,1.2806884392541567,0.0
49.2,1.281062787681578,1.281062787681578,0.0
49.300000000000004,1.2814300324957841,1.2814300324957841,0.0
49.400000000000006,1.2817903026137931,1.2817903026137931,0.0
49.5,1.2821437248393304,1.2821437248393304,0.0
49.6,1.282490423888626,1.282490423888626,0.0
49.7,1.2828305224162673,1.2828305224162673,0.0
49.800000000000004,1.2831641410410808,1.2831641410410808,0.0
49.900000000000006,1.283491398372031,1.283491398372031,0.0
50.0,1.2838124110341176,1.2838124110341176,0.0
50.1,1.2841272936942492,1.2841272936942492,0.0
50.2,1.2844361590870852,1.2844361590870852,0.0
50.300000000000004,1.284739118040819,1.284739118040819,0.0
50.400000000000006,1.2850362795029064,1.2850362795029064,0.0
50.5,1.285327750565703,1.285327750565703,0.0
50.6,1.2856136364920174,1.2856136364920174,0.0
50.7,1.2858940407405561,1.2858940407405561,0.0
50.800000000000004,1.2861690649912516,1.2861690649912516,0.0
50.900000000000006,1.2864388091704662,1.2864388091704662,0.0
51.0,1.286703371476054,1.286703371476054,0.0
51.1,1.28696284840228,1.28696284840228,0.0
51.2,1.287217334764578,1.287217334764578,0.0
51.300000000000004,1.2874669237241494,1.2874669237241494,0.0
51.400000000000006,1.287711706812384,1.287711706812384,0.0
51.5,1.2879517739551014,1.2879517739551014,0.0
51.6,1.2881872134966073,1.2881872134966073,0.0
51.7,1.2884181122235527,1.2884181122235527,0.0
51.800000000000004,1.2886445553885952,1.2886445553885952,0.0
51.900000000000006,1.2888666267338538,1.2888666267338538,0.0
52.0,1.289084408514153,1.289084408514153,0.0
52.1,1.2892979815200514,1.2892979815200514,0.0
52.2,1.2895074251006502,1.2895074251006502,0.0
52.300000000000004,1.2897128171861763,1.2897128171861763,0.0
52.400000000000006,1.2899142343103414,1.2899142343103414,0.0
52.5,1.290111751632466,1.290111751632466,0.0
52.6,1.2903054429593723,1.2903054429593723,0.0
52.7,1.2904953807670392,1.2904953807670392,0.0
52.800000000000004,1.2906816362220175,1.2906816362220175,0.0
52.900000000000006,1.2908642792026064,1.2908642792026064,0.0
53.0,1.2910433783197859,1.2910433783197859,0.0
53.1,1.2912190009379039,1.2912190009379039,0.0
53.2,1.2913912131951175,1.2913912131951175,0.0
53.300000000000004,1.291560080023591,1.291560080023591,0.0
53.400000000000006,1.2917256651694409,1.2917256651694409,0.0
53.5,1.2918880312124368,1.2918880312124368,0.0
53.6,1.292047239585453,1.292047239585453,0.0
53.7,1.292203350593668,1.292203350593668,0.0
53.800000000000004,1.29235642343352,1.29235642343352,0.0
53.900000000000006,1.292506516211409,1.292506516211409,0.0
54.0,1.292653685962156,1.292653685962156,0.0
54.1,1.2927979886672052,1.2927979886672052,0.0
54.2,1.2929394792725897,1.2929394792725897,0.0
54.300000000000004,1.2930782117066424,1.2930782117066424,0.0
54.400000000000006,1.293214238897464,1.293214238897464,0.0
54.5,1.293347612790146,1.293347612790146,0.0
54.6,1.2934783843637514,1.2934783843637514,0.0
54.7,1.2936066036480502,1.2936066036480502,0.0
54.800000000000004,1.293732319740014,1.293732319740014,0.0
54.900000000000006,1.2938555808200753,1.2938555808200753,0.0
55.0,1.2939764341681435,1.2939764341681435,0.0
55.1,1.294094926179385,1.294094926179385,0.0
55.2,1.2942111023797729,1.2942111023797729,0.0
55.300000000000004,1.2943250074413974,1.2943250074413974,0.0
55.400000000000006,1.29443668519755,1.29443668519755,0.0
55.5,1.294546178657574,1.294546178657574,0.0
55.6,1.2946535300214936,1.2946535300214936,0.0
55.7,1.2947587806944094,1.2947587806944094,0.0
55.800000000000004,1.2948619713006786,1.2948619713006786,0.0
55.900000000000006,1.294963141697869,1.294963141697869,0.0
56.0,1.2950623309904943,1.2950623309904943,0.0
56.1,1.295159577543536,1.295159577543536,0.0
56.2,1.295254918995746,1.295254918995746,0.0
56.300000000000004,1.2953483922727402,1.2953483922727402,0.0
56.400000000000006,1.2954400335998804,1.2954400335998804,0.0
56.5,1.2955298785149485,1.2955298785149485,0.0
56.6,1.295617961880617,1.295617961880617,0.0
56.7,1.2957043178967131,1.2957043178967131,0.0
56.800000000000004,1.2957889801122842,1.2957889801122842,0.0
56.900000000000006,1.2958719814374664,1.2958719814374664,0.0
57.0,1.2959533541551527,1.2959533541551527,0.0
57.1,1.3079588519088792,1.2960331299324732,0.011925721976405956
57.2,1.3219254184259221,1.2961113398320792,0.025814078593842993
57.300000000000004,1.3357986321705626,1.2961880143232407,0.039610617847321894
57.400000000000006,1.3495751349419098,1.2962631832927594,0.05331195164915048
57.5,1.36325167519853,1.2963368760556935,0.06691479914283649
57.6,1.376825110416397,1.2964091213659055,0.08041598905049163
57.7,1.3902924092081985,1.2964799474264272,0.09381246178177127
57.800000000000004,1.4036506532035995,1.296549381899652,0.10710127130394742
57.900000000000006,1.416897038690852,1.2966174519173492,0.1202795867735027
58.0,1.4300288780209431,1.2966841840905077,0.13334469393043547
58.1,1.443043600776234,1.2967496045190114,0.1462939962572225
58.2,1.4559387547062705,1.296813738801148,0.1591250159051225
58.300000000000004,1.4687120064341572,1.2968766120429498,0.17183539439120743
58.400000000000006,1.481361141937536,1.2969382488673742,0.1844228930701619
58.5,1.4938840668088273,1.296998673423328,0.19688539338549926
58.6,1.5062788063000099,1.2970579093945251,0.20922089690548473
58.7,1.5185435051577043,1.2971159800081984,0.22142752514950592
58.800000000000004,1.530676427254872,1.2971729080436534,0.2335035192112187
58.900000000000006,1.5426759550258704,1.2972287158406703,0.24544723918520006
59.0,1.5545405887120118,1.2972834253077625,0.2572571634042493
59.1,1.5662689454251568,1.2973370579302834,0.2689318874948734
59.2,1.57785975803717,1.2973896347783942,0.28047012325877585
59.300000000000004,1.589311873903367,1.2974411765148854,0.2918706973884815
59.400000000000006,1.600624253428283,1.2974917034028617,0.3031325500254214
59.5,1.611795968482308,1.29754123531329,0.314254733169018
59.6,1.622826200677867,1.297589791732408,0.32523640894545913
59.7,1.6337142395139188,1.2976373917690056,0.3360768477449132
59.800000000000004,1.644459480397643,1.2976840541615706,0.34677542623607227
59.900000000000006,1.6550614225521731,1.2977297972853075,0.3573316252668657
60.0,1.6655196668192587,1.2977746391590288,0.3677450276602299
60.1,1.6758339133656777,1.2978185974519234,0.37801531591375426
60.2,1.6860039593021408,1.2978616894901993,0.38814226981194144
60.300000000000004,1.6960296962233543,1.2979039322636075,0.39812576395974686
60.400000000000006,1.7059111076777267,1.2979453424318472,0.40796576524587946
60.5,1.7156482665750907,1.2979859363308508,0.41766233024423993
60.6,1.7252413325405964,1.2980257299789617,0.4272156025616347
60.7,1.7346905492227367,1.2980647390829896,0.4366258101397471
60.800000000000004,1.7439962415632495,1.298102979044161,0.44589326251908856
60.900000000000006,1.7531588130363804,1.298140464963959,0.4550183480724215
61.0,1.7621787428647449,1.298177211649855,0.46400153121488996
61.1,1.7710565832187593,1.298213233620935,0.47284334959782415
61.2,1.7797929564063049,1.298248545113423,0.48154441129288195
61.300000000000004,1.7883885520590388,1.2982831600860996,0.49010539197293923
61.400000000000006,1.796844124321419,1.298317092225624,0.4985270320957951
61.5,1.8051604890482489,1.298350354951756,0.5068101340964928
61.6,1.8133385210161954,1.298382961422479,0.5149555595937163
61.7,1.8213791511544728,1.2984149245390304,0.5229642266154424
61.800000000000004,1.8292833637995174,1.2984462569508364,0.530837106848681
61.900000000000006,1.8370521939782223,1.2984769710603583,0.538575222917864
62.0,1.8446867247239456,1.2985070790278428,0.5461796456961028
62.1,1.8521880844292253,1.29853659277599,0.5536514916532354
62.2,1.8595574442388294,1.2985655239945268,0.5609919202443026
62.300000000000004,1.8667960154864631,1.2985938841447036,0.5682021313417596
62.400000000000006,1.8739050471781744,1.298621684463697,0.5752833627144773
62.5,1.8808858235252095,1.2986489359689366,0.5822368875562729
62.6,1.8877396615288053,1.298675649462349,0.5890640120664563
62.7,1.8944679086191085,1.2987018355345215,0.5957660730845871
62.800000000000004,1.9010719403502012,1.2987275045687854,0.6023444357814158
62.900000000000006,1.907553158152917,1.2987526667452256,0.6088004914076914
63.0,1.9139129871469178,1.2987773320446139,0.615135655102304
63.1,1.9201528740132656,1.2988015102522654,0.6213513637610002
63.2,1.9262742849285024,1.2988252109618257,0.6274490739666767
63.300000000000004,1.9322787035610491,1.2988484435789833,0.6334302599820658
63.400000000000006,1.9381676291305299,1.2988712173251127,0.6392964118054172
63.5,1.9439425745304373,1.29889354124085,0.6450490332895873
63.6,1.949605064514397,1.2989154241895986,0.6506896403247984
63.7,1.9551566339460877,1.2989368748609684,0.6562197590851193
63.800000000000004,1.960598826112756,1.298957901774151,0.661640924338605
63.900000000000006,1.9659331911020983,1.2989785132812295,0.6669546778208688
64.0,1.9711612842421373,1.2989987175704254,0.6721625666717119
64.10000000000001,1.9762846646036238,1.299018522669285,0.6772661419343389
64.2,1.9813048935643458,1.2990379364478022,0.6822669571165436
64.3,1.9862235334346483,1.2990569666214844,0.6871665668131639
64.4,1.9910421461433496,1.2990756207543592,0.6919665253889904
64.5,1.9957622919831515,1.299093906261923,0.6966683857212286
64.60000000000001,2.0003855284145873,1.2991118304140308,0.7012736980005565
64.7,2.0049134089274254,1.2991294003377387,0.7057840085896867
64.8,2.009347481958452,1.2991466230200812,0.7102008589383706
64.9,2.0136892898644283,1.2991635053108044,0.7145257845536239
65.0,2.017940367949016,1.2991800539250393,0.7187603140239767
65.10000000000001,2.022102243542409,1.2991962754459312,0.722905968096478
65.2,2.0261764351323577,1.2992121763272135,0.7269642588051441
65.3,2.0301644515452626,1.2992277628957316,0.730936688649531
65.4,2.034067791175968,1.2992430413539218,0.7348247498220464
65.5,2.0378879412648905,1.2992580177822415,0.738629923482649
65.60000000000001,2.041626377221075,1.2992726981415492,0.742353679079526
65.7,2.045284561989785,1.2992870882754444,0.7459974737143407
65.8,2.0488639454632085,1.299301193912556,0.7495627515506524
65.9,2.0523659639328775,1.299315020668793,0.7530509432640846
66.0,2.055792039582382,1.2993285740495466,0.7564634655328355
66.10000000000001,2.0591435800189815,1.2993418594518524,0.759801720567129
66.2,2.0624219778427153,1.2993548821665102,0.7630670956762051
66.3,2.065628610251628,1.299367647380162,0.7662609628714661
66.4,2.068764838681742,1.2993801601773338,0.7693846785044083
66.5,2.071832008480422,1.2993924255424303,0.7724395829379915
66.60000000000001,2.0748314486117976,1.2994044483616984,0.7754270002500991
66.7,2.0777644713929355,1.2994162334251493,0.7783482379677862
66.8,2.0806323722594637,1.2994277854284442,0.7812045868310196
66.9,2.0834364295593857,1.2994391089747408,0.7839973205846449
67.0,2.0861779043738404,1.2994502085765087,0.7867276957973317
67.10000000000001,2.0888580403635992,1.2994610886573073,0.789396951706292
67.2,2.09147806364011,1.2994717535535272,0.7920063100865828
67.3,2.0940391826599254,1.2994822075161,0.7945569751438253
67.4,2.0965425881413933,1.2994924547121767,0.7970501334292166
67.5,2.098989453002515,1.2995024992267687,0.7994869537757463
67.60000000000001,2.101380932318884,1.2995123450643602,0.8018685872545239
67.7,2.1037181633006905,1.2995219961504905,0.8041961671502
67.8,2.1060022652877657,1.2995314563333,0.8064708089544657
67.9,2.108234339761701,1.2995407293850536,0.8086936103766473
68.0,2.1104154703740896,1.2995498190036283,0.8108656513704613
68.10000000000001,2.112546722989984,1.2995587288139738,0.8129879941760101
68.2,2.1146291457456736,1.2995674623695468,0.8150616833761268
68.3,2.116663769119942,1.2995760231537132,0.8170877459662287
68.4,2.1186516060179725,1.299584414581128,0.8190671914368446
68.5,2.12059365186711,1.2995926399990836,0.8210010118680264
68.60000000000001,2.122490884723719,1.2996007026888332,0.822890182034886
68.7,2.1243442653903966,1.299608605866891,0.8247356595235056
68.8,2.126154737542845,1.2996163526863045,0.8265383848565406
68.9,2.127923227865709,1.299623946237901,0.8282992816278081
69.0,2.129650646196745,1.2996313895515126,0.8300192566452322
69.10000000000001,2.1313378856786898,1.2996386855971753,0.8316992000815144
69.2,2.1329858229182252,1.299645837286306,0.8333399856319192
69.3,2.1345953181514816,1.2996528474728546,0.834942470678627
69.4,2.1361672154155222,1.2996597189544357,0.8365074964610866
69.5,2.1377023427252877,1.299666454473436,0.8380358882518517
69.60000000000001,2.139201512255508,1.3051546391516702,0.834046873103838
69.7,2.1406655205270986,1.316349802566644,0.8243157179604546
69.8,2.142095148597594,1.327486096675759,0.8146090519218352
69.9,2.143491162255183,1.3385617752035612,0.8049293870516219
70.0,2.1448543122159385,1.349575134941909,0.7952791772740295
70.10000000000001,2.14618533432385,1.3605245165771862,0.7856608177466637
70.2,2.1474849497532866,1.3714083054551667,0.77607664429812
70.3,2.148753865213551,1.3822249322833247,0.7665289329302265
70.4,2.149992773155167,1.3929728737704474,0.7570198993847197
70.5,2.151202351977619,1.4036506532035986,0.7475516987740205
70.60000000000001,2.152383266238214,1.4142568409626257,0.7381264252755884
70.7,2.153536166861806,1.4247900549724557,0.7287461118893503
70.8,2.1546616913511065,1.4352489610936612,0.7194127302574453
70.9,2.1557604639973365,1.4456322734518094,0.710128190545527
71.0,2.1568330960909803,1.45593875470627,0.7008943413847102
